dataset,conf,Fold,Rep,RMSE_cv,RMSE_train,RMSE_test
airfoil,0,0,0,12.654936,8.816360000000003,8.98909
airfoil,0,0,1,12.654936,6.56769,6.97319
airfoil,0,0,2,12.654936,7.37517,7.70061
airfoil,0,0,3,12.654936,8.02155,8.4205
airfoil,0,0,4,12.654936,3.3913,3.65826
airfoil,0,0,5,12.654936,15.6691,16.0473
airfoil,0,1,0,9.505136,8.01037,7.82103
airfoil,0,1,1,9.505136,11.2315,11.7727
airfoil,0,1,2,9.505136,16.2012,16.6269
airfoil,0,1,3,9.505136,4.94896,4.89879
airfoil,0,1,4,9.505136,9.69338,9.73462
airfoil,0,1,5,9.505136,10.241,10.6122
airfoil,2,2,0,13.70817,11.4771,10.5612
airfoil,2,2,1,13.70817,12.2712,11.1803
airfoil,2,2,2,13.70817,12.7225,11.5438
airfoil,2,2,3,13.70817,14.9544,13.7611
airfoil,2,2,4,13.70817,12.8954,11.9282
airfoil,2,2,5,13.70817,22.6454,20.9186
airfoil,0,3,0,10.534714,6.65057,6.80996
airfoil,0,3,1,10.534714,6.73952,7.3121199999999975
airfoil,0,3,2,10.534714,9.7645,10.3896
airfoil,0,3,3,10.534714,16.4142,16.7858
airfoil,0,3,4,10.534714,8.243780000000001,8.7634
airfoil,0,3,5,10.534714,5.82449,6.188359999999999
airfoil,0,4,0,12.478027999999998,19.8221,19.4979
airfoil,0,4,1,12.478027999999998,7.3687,7.95856
airfoil,0,4,2,12.478027999999998,5.9938,6.42586
airfoil,0,4,3,12.478027999999998,16.5506,17.0721
airfoil,0,4,4,12.478027999999998,7.3124699999999985,7.12208
airfoil,0,4,5,12.478027999999998,10.1122,10.4656
concrete,1,0,0,7.6773120000000015,7.38828,7.38939
concrete,1,0,1,7.6773120000000015,7.7081399999999975,7.62655
concrete,1,0,2,7.6773120000000015,7.64683,7.47125
concrete,1,0,3,7.6773120000000015,7.1380399999999975,7.30094
concrete,1,0,4,7.6773120000000015,8.1462,9.61725
concrete,1,0,5,7.6773120000000015,8.00928,8.12111
concrete,0,1,0,7.639098,7.08864,7.37587
concrete,0,1,1,7.639098,7.24297,7.76094
concrete,0,1,2,7.639098,6.96167,7.37096
concrete,0,1,3,7.639098,7.19487,7.39375
concrete,0,1,4,7.639098,8.09868,8.21313
concrete,0,1,5,7.639098,6.69915,7.042560000000001
concrete,1,2,0,7.824389999999997,7.44768,9.12813
concrete,1,2,1,7.8243899999999975,6.969289999999999,8.253789999999999
concrete,1,2,2,7.824389999999997,10.1168,12.5088
concrete,1,2,3,7.8243899999999975,7.41511,8.63935
concrete,1,2,4,7.824389999999997,7.03545,8.43436
concrete,1,2,5,7.8243899999999975,6.08825,7.13505
concrete,0,3,0,7.506947999999999,6.26227,6.805510000000001
