dataset,conf,Fold,Rep,RMSE_cv,RMSE_train,RMSE_test
airfoil,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",0,0,12.654936,8.816360000000003,8.98909
airfoil,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",0,1,12.654936,6.56769,6.97319
airfoil,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",0,2,12.654936,7.37517,7.70061
airfoil,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",0,3,12.654936,8.02155,8.4205
airfoil,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",0,4,12.654936,3.3913,3.65826
airfoil,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",0,5,12.654936,15.6691,16.0473
airfoil,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",1,0,9.505136,8.01037,7.82103
airfoil,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",1,1,9.505136,11.2315,11.7727
airfoil,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",1,2,9.505136,16.2012,16.6269
airfoil,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",1,3,9.505136,4.94896,4.89879
