dataset,Fold,conf,RMSE_0,RMSE_1,RMSE_2,RMSE_3,RMSE_4
Geographical,0,0,49.880285576833,50.35131231578657,47.28368891719257,51.26334320297325,56.68793819976844
Geographical,0,1,52.773438613746116,46.78951587287199,49.78372752438673,48.47746419508275,49.70545924095232
Geographical,0,2,51.054485743738745,49.273538631211174,49.78372752438673,47.189698867075606,56.68793819976844
Geographical,0,3,52.773438613746116,50.8346523736668,49.78372752438673,48.99530731341404,55.82829021134189
Geographical,0,4,52.463145874903624,48.78462795430342,49.78372752438673,45.93207260758461,49.65183831157047
Geographical,0,5,52.01108332132818,46.19879444697665,52.461595084760475,46.860721952967864,53.045875304960155
Geographical,0,6,52.93869326645866,49.839602968646965,50.59761387012881,49.39134554200492,52.93058016181728
Geographical,0,7,52.773438613746116,55.10772833388479,50.21780948036008,47.05432550597931,54.40177295004557
Geographical,0,8,52.13839116640463,54.103736095987756,47.59068312505687,48.28468695512664,53.3258553326529
Geographical,1,0,52.17752057756612,53.01261331252113,48.13677842070322,5716.685684482421,49.9395781634821
Geographical,1,1,55.54031430255888,52.247366715315906,53.06595393186184,48.545424529488535,53.917631182919166
Geographical,1,2,50.34297022553808,47.26574259070729,57.30254743150702,48.27791641178192,55.33740468371553
Geographical,1,3,54.58936251490177,51.45920509676189,52.64056840666144,51.943188249718474,50.25684529248378
Geographical,1,4,52.654050116800136,50.149938067186525,50.681275372161465,47.57379332518112,49.84932747784773
Geographical,1,5,53.28606831178698,46.57606397219524,57.30254743150702,47.73830376518932,49.83578857426397
Geographical,1,6,51.71985068929418,50.06123704082759,52.73228515679613,5714.477905111346,49.98306995216567
Geographical,1,7,51.43428514597772,47.56477710049953,49.39177577232569,5715.874135018161,52.3094444844343
Geographical,1,8,53.909729958886395,51.38316384348571,51.65507243856738,49.25369346673065,53.917631182919166
Geographical,2,0,48.56996913406215,49.851198927421066,51.46576793271976,52.01867483606776,58.454835249994574
Geographical,2,1,49.23468980361308,55.169400152151404,52.267457308387286,45.292861296516115,49.15669550744934
Geographical,2,2,47.962017094516796,55.10886666861677,50.31172851601078,47.633949195360785,52.38915506706497
Geographical,2,3,47.74588681805003,50.26050983842856,52.91491040701773,51.11043815248746,55.612382938582876
Geographical,2,4,48.12829820533922,56.00052928042317,52.35751163484875,47.90569760559269,58.78132492549704
Geographical,2,5,48.81330357319461,51.273748486353966,50.13482541232443,47.86727470986554,59.09878197041153
Geographical,2,6,48.70728566833523,55.10886666861677,50.902539888476,50.98804166258793,54.96088086762993
Geographical,2,7,48.172639154075696,49.32847668057188,50.98141011367057,50.43108903162114,54.69827386766541
Geographical,2,8,47.40755535145046,53.51789085192928,54.55115653119198,49.85237561638442,51.59280125050607
Geographical,3,0,50.36319480959974,50.95086497226354,52.90427508452018,54.59476463447389,53.611287116232006
Geographical,3,1,54.815704940829065,46.584725058887024,51.43354023809993,52.693245656002084,53.05820744840749
Geographical,3,2,49.36430046875672,49.19659495136579,55.034069189303125,55.498036195785886,49.331583109553726
Geographical,3,3,50.46385890606167,49.22346921491333,52.90427508452018,51.914986862034034,50.76485799862718
Geographical,3,4,50.5751854186347,48.609448257958526,52.49232195038951,53.17059140698806,50.01543021914935
Geographical,3,5,54.815704940829065,50.695790426122855,54.72822691340044,52.63256802449077,51.234583419686444
Geographical,3,6,51.84275459067917,49.600547462427215,53.73069952867286,52.63256802449077,50.7726323857133
Geographical,3,7,46.949411741404475,49.99400267742475,55.034069189303125,52.67883656433545,51.8837321190969
Geographical,3,8,46.506252411749976,50.423048894394256,50.66497851893835,53.474076736784,47.155667593287326
Geographical,4,0,55.230145258835606,49.44033718416274,49.09236012666238,46.15041337723441,57.79282377446002
Geographical,4,1,58.86694349235444,52.4666063116335,49.86651135587571,47.26140583265521,47.50513616809975
Geographical,4,2,48.582604482914235,52.61259471392461,51.67801525810604,52.964630812994734,58.990423211470066
Geographical,4,3,49.53014176402048,56.77907219891644,46.74358090029247,48.533043472519466,53.68868972706177
Geographical,4,4,49.27736966890606,56.77907219891644,44.921950832512465,48.533043472519466,49.95303936298531
Geographical,4,5,49.684492114859175,48.84415586492865,50.66872526008708,52.708723508544445,55.67794756463218
Geographical,4,6,55.56285358542515,52.34247222482528,48.783224252568665,48.533043472519466,51.601100767986075
Geographical,4,7,49.21042436482438,50.24317987527029,48.49935579969475,48.58324822624595,57.79282377446002
Geographical,4,8,72.45416192435697,51.19046303778973,46.45522439060636,44.55240332493191,55.67794756463218
