dataset,conf,Fold,Rep,RMSE_cv,RMSE_train,RMSE_test
Geographical,4,0,0,49.32308245454978,53.69524714056962,55.47002519406776
Geographical,4,0,1,49.32308245454978,46.005375174261935,48.269081165921726
Geographical,4,0,2,49.32308245454978,49.85331432221394,52.41754218791577
Geographical,4,0,3,49.32308245454978,46.02479211249741,49.58316184585968
Geographical,4,0,4,49.32308245454978,46.03057856498996,48.75867855548604
Geographical,4,0,5,49.32308245454978,49.35473449246116,51.115429849004265
Geographical,4,1,0,50.1816768718354,47.314272286902856,47.797643077534545
Geographical,4,1,1,50.1816768718354,49.213504191464175,51.68483858123391
Geographical,4,1,2,50.1816768718354,47.19140271829825,47.49659235149441
Geographical,4,1,3,50.1816768718354,50.54329063581992,51.19990490812775
Geographical,4,1,4,50.1816768718354,46.419966511149426,48.73709045935966
Geographical,4,1,5,50.1816768718354,53.88094500174689,54.74587883505575
Geographical,1,2,0,50.224220813623454,50.77836745765789,49.686738765063645
Geographical,1,2,1,50.224220813623454,51.10474194593664,52.78018481765402
Geographical,1,2,2,50.224220813623454,47.86688249448087,45.38180556554377
Geographical,1,2,3,50.224220813623454,48.860012091021645,46.72194469198381
Geographical,1,2,4,50.224220813623454,48.54214839488422,47.77486331748883
Geographical,1,2,5,50.224220813623454,46.09006383448411,40.177512599395335
Geographical,8,3,0,49.644804831030775,48.284664556986925,48.67152750745833
Geographical,8,3,1,49.644804831030775,51.632754387010486,51.43206293798692
Geographical,8,3,2,49.644804831030775,49.74327274973982,47.86340163097548
Geographical,8,3,3,49.644804831030775,54.247787978401426,53.27882590090444
Geographical,8,3,4,49.644804831030775,51.632754387010486,51.43206293798692
Geographical,8,3,5,49.644804831030775,51.632754387010486,51.43206293798692
Geographical,4,4,0,49.892895107167945,49.39765039789345,50.05888698747115
Geographical,4,4,1,49.892895107167945,51.75601760526551,50.93075047979972
Geographical,4,4,2,49.892895107167945,47.82384267809598,49.11482222835256
Geographical,4,4,3,49.892895107167945,48.52184328687575,49.462397121642525
Geographical,4,4,4,49.892895107167945,54.88542340677531,50.58133554009087
Geographical,4,4,5,49.892895107167945,51.447969907341125,47.62852859054353
