dataset,Fold,conf,RMSE_0,RMSE_1,RMSE_2,RMSE_3,RMSE_4
airfoil,0,0,6.68079972008366,25.40754316669825,7.4418384665817126,6.688830225588303,7.325941377354425
airfoil,0,1,13.187199658145444,8.623981071004668,7.301321366996754,6.836593689038588,30.33504323097106
airfoil,0,2,6.8296354012234035,6.139453448478322,6.822071823227378,6.687970664305066,12.601994608604874
airfoil,0,3,6.7080592838234026,7.235502805437582,6.000576993097693,26.025233200043893,7.215851120597428
airfoil,0,4,9.894600878877718,6.626679166788275,6.675406777772098,6.376022839219412,7.018707420990032
airfoil,0,5,6.413719532838448,6.883754049852447,6.9309190541557575,5.5694516186716525,7.738121543468012
airfoil,0,6,6.930279551057558,6.62806355205945,6.912104075132638,24.510880555543128,9.744583124118753
airfoil,0,7,6.837665291740423,6.574019518547544,7.477373675549887,6.474875291506232,22.729113555087288
airfoil,0,8,7.278322751694883,6.605673603485737,6.99941783603968,6.8532564886358776,25.49551865075181
airfoil,1,0,12.258589797537795,6.287768121435023,11.542405187698927,9.359293977724397,16.878057099940847
airfoil,1,1,25.597641400278693,8.57262570073884,28.971105757463693,21.57957953090639,15.665389744768802
airfoil,1,2,6.909775281630348,25.448439813429808,6.8656017185799465,7.297410657187202,8.736770830096967
airfoil,1,3,6.909388400157969,10.715116202167863,6.723850738893317,15.375520636103776,5.960975217569338
airfoil,1,4,6.740143655365517,15.447875051755394,6.809981584917487,8.833843751955591,7.1260710698179555
airfoil,1,5,7.286846425674383,25.448439813429808,6.002993750521977,9.525153744611618,6.629708398806697
airfoil,1,6,6.819729450227793,6.7958019521072615,6.961095890916429,7.332400971780722,16.298344817869534
airfoil,1,7,14.23974386223006,6.874396789355296,6.5925517919676615,6.40247973129164,16.677720326670773
airfoil,1,8,13.968762555036573,9.351906832886458,6.460956934652156,7.000417472572322,10.454736624691542
airfoil,2,0,7.5325574791322305,5.890419156765521,26.206057402583472,8.694319149854607,8.404625168730615
airfoil,2,1,26.244781847409527,8.985967068749659,8.736818080791169,17.991827009535047,7.5382362667632465
airfoil,2,2,16.437990037063443,15.10162967168224,19.678767727028664,6.797959332869772,13.30940563350166
airfoil,2,3,,,,,
