dataset,Fold,conf,RMSE_0,RMSE_1,RMSE_2,RMSE_3,RMSE_4
concrete,0,0,16.202677781258345,13.171202097713444,13.458281918023722,11.589207733264086,17.493961845244392
concrete,0,1,11.982440228209095,13.099908785077153,14.922190913386395,10.298862741000802,17.687026214639328
concrete,0,2,11.870826566168974,15.196389861057465,15.958448580086033,14.458096001065636,13.378128624736489
concrete,0,3,11.870826566168974,11.59506100364768,14.922190913386395,12.140750613025794,16.62156279561851
concrete,0,4,12.376014272228579,10.733247118624972,11.51617503594098,10.264515618924486,15.790140607247753
concrete,0,5,14.026600299407127,14.196470846240885,13.564783639021275,12.026256480265774,17.15665122711415
concrete,0,6,12.324696599445572,9.518858065966905,12.778739124934402,11.254505437990773,12.82188377465232
concrete,0,7,11.526481913021913,12.730496957536962,10.594518961434522,16.212002007009286,13.216764122906088
concrete,0,8,11.870826566168974,10.735304809301061,11.721408284391416,12.026256480265774,13.300674086685047
concrete,1,0,11.005563806713846,10.059360285302608,11.78910449269187,15.708529717916713,14.573098995447864
concrete,1,1,17.24051773131534,9.645618224147686,15.179551055457347,13.087827532474902,16.327653469222412
concrete,1,2,14.053546219939662,13.916213386832736,13.370066401566215,15.684091119553981,12.737569369808874
concrete,1,3,12.305062540806107,13.916213386832736,11.135191049811013,13.371712879167154,17.472117912859012
concrete,1,4,12.607511566435855,9.841205842326527,13.446356849516716,10.95785375622566,12.40112105718898
concrete,1,5,16.013793720606326,16.495495639342078,15.179551055457347,15.935526921645332,14.513116360734234
concrete,1,6,11.786864080136896,13.677276691917058,10.54876690396136,13.68112609136527,16.527794297474653
concrete,1,7,10.319659427147776,11.921821954861686,13.251224696589649,11.985598042629885,12.383934834528336
concrete,1,8,9.930956370360585,9.712674846204461,10.869961662526203,11.985598042629885,16.128732075038645
concrete,2,0,12.681026746044756,9.327479110883253,12.310930531261851,12.675049677636327,12.209190357415245
concrete,2,1,17.821893707572613,,,,
