dataset,Fold,conf,RMSE_0,RMSE_1,RMSE_2,RMSE_3,RMSE_4
energyCooling,0,0,4.6015260692722775,4.53525008374979,3.7565404387173977,4.3930693395015386,3.167108889479391
energyCooling,0,1,4.374414127754831,8.758200822081973,4.829612316204112,4.8033155128080685,8.414940915851407
energyCooling,0,2,4.6015260692722775,8.758200822081973,4.018176302309286,4.9104250264516205,4.022928678828862
energyCooling,0,3,4.7112549962150325,8.758200822081973,4.248762814426923,4.304933310013936,3.0592947051800197
energyCooling,0,4,4.374414127754831,4.029532068665061,4.260502537249707,4.8033155128080685,4.3710923317191615
energyCooling,0,5,6.956240701900057,4.5460632363235005,5.011115543349034,4.3604374517544455,3.567958192395842
energyCooling,0,6,4.129770065673529,4.2951193147315765,4.5378092534947845,3.839446183439249,3.703106644155286
energyCooling,0,7,7.9313359684168265,4.307592280559554,3.8006191315897886,4.708694356011562,4.108737906177823
energyCooling,0,8,4.177108067747064,4.46573482556023,4.6192966331306335,4.067588821410379,6.020191979946308
energyCooling,1,0,4.063701534802422,8.670150724086403,4.107152199151118,4.425837903307864,4.2738802928586335
energyCooling,1,1,4.3884931662134905,8.670150724086403,4.308214809067687,8.963058414157373,4.238091269247876
energyCooling,1,2,4.3884931662134905,8.30352672649164,8.597209889619936,4.259063708646257,4.156189302720652
energyCooling,1,3,4.725355154858788,4.677862604251157,4.351726592394399,4.429699075487719,4.074075069921484
energyCooling,1,4,4.600985617153329,4.409109860459956,3.649415399909426,4.213093267462055,4.0555187355653874
energyCooling,1,5,3.949760552761011,4.801179009895777,3.802831538384984,4.227312695492284,4.246733813657594
energyCooling,1,6,3.9836232078082654,4.684308360699099,3.8200229047828977,4.582772697458532,4.1537221750181965
energyCooling,1,7,4.03528287510077,4.769928612324713,3.6142349273347767,4.199221941361947,4.242597337606199
energyCooling,1,8,4.450509663686574,4.637889138616896,4.012326952830172,4.1918550969185935,6.373886145058125
energyCooling,2,0,3.535204772073212,3.779153194196857,3.942124034823487,4.845646723603979,4.866597346488367
energyCooling,2,1,4.317382466561494,4.565324258627596,3.893570413196848,4.276674448869762,3.565716530296364
energyCooling,2,2,6.426936678529552,4.568715689304297,3.660909565371666,4.845646723603979,7.174408467559334
energyCooling,2,3,3.6221448115266335,4.946481163132208,4.024306781292637,3.7805769287950057,4.82369182081952
energyCooling,2,4,4.293633996014221,4.357159505128293,4.653136136865222,3.8154554218624432,4.103275628002885
energyCooling,2,5,6.842466885645362,4.195793849216172,3.9190269668649456,5.241571978877751,6.341027650450697
energyCooling,2,6,4.24711971542234,4.3787527248270415,3.942124034823487,4.845646723603979,3.6713265537582296
energyCooling,2,7,4.294314308526396,4.330654850317402,4.369037321338837,3.861408979636197,4.0033653392249375
energyCooling,2,8,4.2931803146925445,4.5354338062840585,6.921274084975221,4.574020095759085,3.9052728115006174
energyCooling,3,0,4.044965415781699,4.26897919877734,4.252305220081487,8.779005028537155,4.19605935758272
energyCooling,3,1,4.0239735719103695,8.601637633383843,4.452522358406476,3.7880294540032287,3.853278622928313
energyCooling,3,2,8.252317507605863,4.523101700392155,4.551501349225239,4.3670957492051325,4.077874774848423
energyCooling,3,3,3.6561708097473327,4.874031431045236,4.1294451558547856,4.13552004761695,4.764963953196132
energyCooling,3,4,3.3177690948585337,4.653363106631716,4.690526172228199,3.6626174835772902,4.5256551915104035
energyCooling,3,5,4.174589939661053,4.5719780507268135,4.0643753451232385,3.673573373401057,7.4336241843261694
energyCooling,3,6,3.9290563387421047,4.185311816645415,4.164085326796708,4.330681029135702,4.141208360080707
energyCooling,3,7,6.357624191933152,4.154713163262029,3.880799148400643,7.809545909787147,4.355511919969457
energyCooling,3,8,4.174589939661053,3.9648040109151363,4.1967951734098214,3.691146052363351,7.676905658388987
energyCooling,4,0,4.291468670801097,8.625782390175775,4.551216929200076,4.816229967805875,4.289652195852399
energyCooling,4,1,4.542294855358939,4.424701187555446,4.988075732420113,3.8378567878014676,4.289652195852399
energyCooling,4,2,4.153919762238368,4.180278029714944,4.63758367320733,4.003172692181217,4.289652195852399
energyCooling,4,3,4.291468670801097,4.161249178813037,8.303165751852527,3.423895795041766,4.98542461237858
energyCooling,4,4,8.393536304420184,4.395004290682476,4.2982534599445295,6.040457147171521,4.138208528516186
energyCooling,4,5,8.393536304420184,4.791425660524909,4.761096709278539,6.822137813168108,4.198943968586719
energyCooling,4,6,3.911538952519127,4.533984362272218,4.308754561864508,3.423895795041766,5.241929619542084
energyCooling,4,7,4.113353922020919,4.533984362272218,4.319913272387744,4.203793866495076,3.9203495952699727
energyCooling,4,8,4.4687217587113786,6.838029287509023,4.267811549360964,3.8548346110887706,3.998554824369487
