dataset,conf,Fold,Rep,RMSE_cv,RMSE_train,RMSE_test
energyCooling,0,0,0,4.090698964144078,4.331075669353842,4.387759500175788
energyCooling,0,0,1,4.090698964144078,4.7120468731812215,4.6211164910951625
energyCooling,0,0,2,4.090698964144078,4.505451496784255,4.160486336419901
energyCooling,0,0,3,4.090698964144078,4.784330431477835,4.4426447626897465
energyCooling,0,0,4,4.090698964144078,3.694572760200311,3.7303737567270088
energyCooling,0,0,5,4.090698964144078,4.505451496784255,4.160486336419901
energyCooling,7,1,0,4.172253138745681,4.090220790944058,4.210429155200069
energyCooling,7,1,1,4.172253138745681,4.092350540554945,4.240888856689442
energyCooling,7,1,2,4.172253138745681,4.271054612306583,4.267024156299484
energyCooling,7,1,3,4.172253138745681,3.589177601990763,3.5579232149618134
energyCooling,7,1,4,4.172253138745681,4.023301400508233,4.063728903806917
energyCooling,7,1,5,4.172253138745681,4.089073119699624,3.943643171422045
energyCooling,1,2,0,4.123733623510413,3.984861889336891,4.0037342763399835
energyCooling,1,2,1,4.123733623510413,4.00211150504496,3.8947798688387163
energyCooling,1,2,2,4.123733623510413,4.313030534745743,4.181984664616665
energyCooling,1,2,3,4.123733623510413,4.165396789524505,4.693356729107945
energyCooling,1,2,4,4.123733623510413,5.608252588534886,6.190345627782277
energyCooling,1,2,5,4.123733623510413,4.209512130683334,4.431876430478278
energyCooling,6,3,0,4.1500685742801275,3.812032040800988,3.896621731194559
energyCooling,6,3,1,4.1500685742801275,3.658817077805747,3.8993077751884386
energyCooling,6,3,2,4.1500685742801275,8.485226269976758,8.207610627292015
energyCooling,6,3,3,4.1500685742801275,3.93444173616933,3.9922114042989434
energyCooling,6,3,4,4.1500685742801275,4.483105007160608,4.911050704124919
energyCooling,6,3,5,4.1500685742801275,4.166824738885436,4.4945986797586075
energyCooling,7,4,0,4.218279003689186,4.551806542327174,4.705556551795236
energyCooling,7,4,1,4.218279003689186,5.75983853576628,5.800702559229398
energyCooling,7,4,2,4.218279003689186,4.500748822896907,4.178558487836469
energyCooling,7,4,3,4.218279003689186,4.723151026976964,4.696226122590154
energyCooling,7,4,4,4.218279003689186,3.8694108281000514,3.664425412489833
energyCooling,7,4,5,4.218279003689186,4.3428540486239475,4.2352481115642835
