dataset,conf,Fold,Rep,RMSE_cv,RMSE_train,RMSE_test
energyHeating,6,0,0,4.310606858319499,4.645765412428781,5.064867749077711
energyHeating,6,0,1,4.310606858319499,4.295329751931633,4.791606528000981
energyHeating,6,0,2,4.310606858319499,4.193145309343255,4.935215840376066
energyHeating,6,0,3,4.310606858319499,4.405669810536599,4.8460449835884525
energyHeating,6,0,4,4.310606858319499,3.7021499624918963,3.739129179191738
energyHeating,6,0,5,4.310606858319499,4.485657524969957,4.8187441681919525
energyHeating,6,1,0,3.841757840739413,4.748621402935234,4.834891512532203
energyHeating,6,1,1,3.841757840739413,6.6848468641507015,6.8940439303616055
energyHeating,6,1,2,3.841757840739413,7.174663723366714,7.2494283941788655
energyHeating,6,1,3,3.841757840739413,4.492076986540552,4.518718854198576
energyHeating,6,1,4,3.841757840739413,4.636209459975094,4.920042772815542
energyHeating,6,1,5,3.841757840739413,4.582040991270427,4.79923450993619
energyHeating,6,2,0,4.539592715532206,4.614260742424087,4.674536314213105
energyHeating,6,2,1,4.539592715532206,4.614260742424087,4.674536314213105
energyHeating,6,2,2,4.539592715532206,3.4437211705079536,3.238784729650103
energyHeating,6,2,3,4.539592715532206,7.180345789524412,7.226963877557349
energyHeating,6,2,4,4.539592715532206,3.5542027053078393,3.383850920043649
energyHeating,6,2,5,4.539592715532206,4.197767189374381,4.261116697068389
energyHeating,6,3,0,4.591359132921413,4.901458404865065,4.66047467191671
energyHeating,6,3,1,4.591359132921413,4.666842571906258,4.46019176859956
energyHeating,6,3,2,4.591359132921413,4.5591323499986025,4.3960763619360135
energyHeating,6,3,3,4.591359132921413,4.279923542733017,4.24671453878013
energyHeating,6,3,4,4.591359132921413,4.853398478560261,4.557981601352795
energyHeating,6,3,5,4.591359132921413,3.8498463707000767,4.1031774564198225
energyHeating,8,4,0,4.412919695981604,4.72848011419905,4.19112600894567
energyHeating,8,4,1,4.412919695981604,5.374907173219941,4.691746113635952
energyHeating,8,4,2,4.412919695981604,3.8668501790790946,3.658682254355396
energyHeating,8,4,3,4.412919695981604,4.193931315835439,3.8322721129256427
energyHeating,8,4,4,4.412919695981604,5.2569841890791,4.855299779386688
energyHeating,8,4,5,4.412919695981604,3.869660319286592,3.5117341234558146
