dataset,conf,Fold,Rep,RMSE_cv,RMSE_train,RMSE_test
airfoil,5,0,0,12.3833401266213,7.0769913449351725,6.928827956534636
airfoil,5,0,1,12.3833401266213,7.019342235614367,6.896109174792994
airfoil,5,0,2,12.3833401266213,14.31331514507518,14.54163073149906
airfoil,5,0,3,12.3833401266213,34.99895740248456,33.789432206378926
airfoil,5,0,4,12.3833401266213,16.812267932024618,16.490146737095774
airfoil,5,0,5,12.3833401266213,35.406121197852755,36.07794365051636
airfoil,5,1,0,8.979612107976667,31.50774884710809,31.526732591320034
airfoil,5,1,1,8.979612107976667,7.15675644375195,6.924992161952706
airfoil,5,1,2,8.979612107976667,31.753359114283043,32.127068348276005
airfoil,5,1,3,8.979612107976667,7.027993716818563,6.789579660304683
airfoil,5,1,4,8.979612107976667,58.22378056051455,60.752730656909186
airfoil,5,1,5,8.979612107976667,30.95236488874356,31.02892899262399
airfoil,5,2,0,12.605033276619446,34.06332547423129,32.197786448674755
airfoil,5,2,1,12.605033276619446,35.43902267371366,33.631513804673915
airfoil,5,2,2,12.605033276619446,6.4615005984612655,6.399877123809539
airfoil,5,2,3,12.605033276619446,24.200737839549493,22.0350340667831
airfoil,5,2,4,12.605033276619446,26.313678112487732,25.609561398700617
airfoil,5,2,5,12.605033276619446,25.56506205638736,24.591650326385526
airfoil,4,3,0,13.825215636722092,38.76977323971626,38.40750510772601
airfoil,4,3,1,13.825215636722092,8.698521301439012,8.594762803280629
airfoil,4,3,2,13.825215636722092,9.26539457006924,9.681547971761317
airfoil,4,3,3,13.825215636722092,7.3339812910958395,7.276537359695128
airfoil,4,3,4,13.825215636722092,37.57407818997715,37.335357792734094
airfoil,4,3,5,13.825215636722092,25.79490317441214,24.73568454481296
airfoil,0,4,0,9.74453523591726,22.398912659536656,23.764713680020318
airfoil,0,4,1,9.74453523591726,14.726603465646706,14.76940570827101
airfoil,0,4,2,9.74453523591726,7.830332760013471,8.506537636834292
airfoil,0,4,3,9.74453523591726,10.335328480241728,10.691416731143814
airfoil,0,4,4,9.74453523591726,8.409946947638165,8.500506637351195
airfoil,0,4,5,9.74453523591726,7.102311782740778,7.6184014306798185
concrete,5,0,0,14.220709037839347,15.234583683798595,14.628334220031846
concrete,5,0,1,14.220709037839347,11.79691976821781,11.455674018730749
concrete,5,0,2,14.220709037839347,16.346214977210867,15.784003617108368
concrete,5,0,3,14.220709037839347,15.764674810798489,15.744682657291342
concrete,5,0,4,14.220709037839347,15.94956929833375,15.380010845866549
concrete,5,0,5,14.220709037839347,11.79691976821781,11.455674018730749
