dataset,conf,Fold,Rep,RMSE_cv,RMSE_train,RMSE_test
tecator,6,0,0,2.4666812428417284,3.5588732092512982,3.743914412025945
tecator,6,0,1,2.4666812428417284,3.705329594061761,3.863961344842534
tecator,6,0,2,2.4666812428417284,1.5826690099220666,1.7765087923142346
tecator,6,0,3,2.4666812428417284,1.994390040159152,1.8781147943446823
tecator,6,0,4,2.4666812428417284,2.7732387086026993,2.9090568550239273
tecator,6,0,5,2.4666812428417284,3.0222012474500346,2.9361864502903385
tecator,6,1,0,2.604859025879712,3.393736977825827,2.8320800864578963
tecator,6,1,1,2.604859025879712,2.715952199368337,2.7636202166011037
tecator,6,1,2,2.604859025879712,2.342064603354127,3.1301757135973447
tecator,6,1,3,2.604859025879712,3.311508107887853,3.27496819201057
tecator,6,1,4,2.604859025879712,3.3199493736804384,4.285815784414943
tecator,6,1,5,2.604859025879712,3.0366811947550594,3.6989122361116995
tecator,8,2,0,2.3990263690958176,2.2306258518004247,2.156555669714886
tecator,8,2,1,2.3990263690958176,3.3097349170749073,3.4094112069687466
tecator,8,2,2,2.3990263690958176,3.4968134391454573,3.128842332599766
tecator,8,2,3,2.3990263690958176,2.360962191267628,2.766570986215507
tecator,8,2,4,2.3990263690958176,3.2633929704551212,3.227798443782945
tecator,8,2,5,2.3990263690958176,4.796571962861737,5.188060561036769
tecator,3,3,0,2.5081744199227574,3.2248209837516733,3.0258024047847165
tecator,3,3,1,2.5081744199227574,3.047903283161071,3.0935515541258374
tecator,3,3,2,2.5081744199227574,2.9791053838115085,3.1080530767055867
tecator,3,3,3,2.5081744199227574,2.8847814945353525,3.110580806773292
tecator,3,3,4,2.5081744199227574,3.4897135962953905,3.1603653266215113
tecator,3,3,5,2.5081744199227574,2.0398641443312826,2.1918945361491433
tecator,6,4,0,2.5508090110268666,3.4484017910056477,3.3530640205703017
tecator,6,4,1,2.5508090110268666,2.9543435616721183,2.8058173527187824
tecator,6,4,2,2.5508090110268666,2.2803038668041733,2.2685609157843007
tecator,6,4,3,2.5508090110268666,3.110207707950704,2.854865787591666
tecator,6,4,4,2.5508090110268666,2.76353588332619,2.350118241803546
tecator,6,4,5,2.5508090110268666,3.4453049063152124,3.3495983855483975
