dataset,conf,Fold,Rep,RMSE_cv,RMSE_train,RMSE_test
towerData,7,0,0,63.2134936193728,65.88662004446016,69.30935232457078
towerData,7,0,1,63.2134936193728,69.52312307649102,73.38973703490194
towerData,7,0,2,63.2134936193728,64.97835015276792,69.10292508250289
towerData,7,0,3,63.2134936193728,66.15962760020392,70.31908764340503
towerData,7,0,4,63.2134936193728,73.76905075586802,78.75497888762281
towerData,7,0,5,63.2134936193728,62.51374777396723,67.43246881060986
towerData,7,1,0,65.92585170641544,67.44391144056802,65.65409060276089
towerData,7,1,1,65.92585170641544,68.82146313118821,67.0775077486294
towerData,7,1,2,65.92585170641544,59.64256463326803,56.70245468892585
towerData,7,1,3,65.92585170641544,72.10086483820588,70.31810877980695
towerData,7,1,4,65.92585170641544,64.02062611877528,61.14732705516626
towerData,7,1,5,65.92585170641544,71.15604634773212,70.14602820968494
towerData,0,2,0,63.74286164977593,66.39163284322701,67.07173618165882
towerData,0,2,1,63.74286164977593,80.5975803045711,83.83332770840951
towerData,0,2,2,63.74286164977593,66.39163284322701,67.07173618165882
towerData,0,2,3,63.74286164977593,72.86178686673142,76.12507041855223
towerData,0,2,4,63.74286164977593,66.39163284322701,67.07173618165882
towerData,0,2,5,63.74286164977593,70.7000949475549,70.89093716178517
towerData,4,3,0,68.41036912180948,81.67245266815893,79.56458357030456
towerData,4,3,1,68.41036912180948,60.994471395593976,59.83876223081152
towerData,4,3,2,68.41036912180948,64.6665610075522,63.696991033069175
towerData,4,3,3,68.41036912180948,77.90073489076633,76.67655181441859
towerData,4,3,4,68.41036912180948,63.55997152046762,62.627565147679015
towerData,4,3,5,68.41036912180948,77.8450987399821,77.34970261404564
towerData,7,4,0,67.47649584205858,56.60948175831463,55.20121577874196
towerData,7,4,1,67.47649584205858,67.1416756354556,66.03806649007666
towerData,7,4,2,67.47649584205858,66.6841711325731,65.90017987095123
towerData,7,4,3,67.47649584205858,64.81715512019841,64.28242386720635
towerData,7,4,4,67.47649584205858,69.96673948141643,69.1636421734902
towerData,7,4,5,67.47649584205858,68.94140331095899,66.58074372931138
