dataset,Fold,conf,RMSE_0,RMSE_1,RMSE_2,RMSE_3,RMSE_4
wineRed,0,0,0.8140817709307259,0.9624692017775308,0.7182087475109427,0.7824446837529193,0.7164220662602159
wineRed,0,1,1.016065371750302,0.7545074007801048,0.6749029029989142,0.8219051770305945,0.6888777883349364
wineRed,0,2,0.8140817709307259,0.7930054811553077,0.9934557782191106,0.8696931164786188,0.7776453646036708
wineRed,0,3,0.8140817709307259,0.6826727464982593,0.7976631479599545,0.7842213684177307,0.6984882878006946
wineRed,0,4,0.7438711933942593,0.7261935714202117,0.8330265392403846,0.7938001508885812,0.8097232080564145
wineRed,0,5,0.7965245177929003,0.7035741429405791,0.7976631479599545,0.8099404084765419,0.9777573658527128
wineRed,0,6,0.7965245177929003,0.6728777548295414,0.8997942448325864,0.8283312255104796,0.7119305768991774
wineRed,0,7,0.9632684364211728,0.7468657874709841,0.7769654001514822,0.7916011705815935,0.7363824283595318
wineRed,0,8,0.7379896835239361,0.6765797046365041,0.7769654001514822,0.8283312255104796,0.6888777883349364
wineRed,1,0,0.7549304937335981,0.7136444439276545,0.8497449186623592,0.7452844744398391,0.8008646894528322
wineRed,1,1,0.8078250564964096,0.8230528638734103,0.7701966048581219,0.8387350967379391,1.011766239233209
wineRed,1,2,0.8078250564964096,0.7136444439276545,0.8386581673650979,0.7238592640413254,0.8008646894528322
wineRed,1,3,0.8362826399807909,0.7392409895993596,0.8452894534685682,0.8387350967379391,0.8008646894528322
wineRed,1,4,0.8038045726052299,0.7136444439276545,0.8386581673650979,0.7560470706744219,0.7782994605608495
wineRed,1,5,0.7097760832381561,0.7564559433955884,1.0565624555995885,0.9831558820657452,0.751513605471942
wineRed,1,6,0.8892597716160744,0.7718093321623947,0.9850610500809664,0.8028204583911575,0.8011793614486776
wineRed,1,7,0.8598720153676941,0.8333440664626622,0.7551726618608688,0.7841936289010958,0.8011793614486776
wineRed,1,8,0.7523064434318913,0.6682349025485824,0.7511590514655851,0.7841936289010958,0.733141641889031
wineRed,2,0,0.8536680698105413,0.7396347833132342,0.7333278782838892,0.7300923956072258,0.7365537262353206
wineRed,2,1,0.8221101616875759,0.80208636280244,1.0141889898220744,0.8058043560178462,0.7319496350977147
wineRed,2,2,1.013496871857039,0.7798548967878622,0.8116561082324323,0.716074900428144,0.8011245537258853
wineRed,2,3,0.7469441734595793,0.8120116806349448,1.0141889898220744,0.7965633568929752,0.7842629186281059
wineRed,2,4,0.7987452555616223,0.792995255106986,0.7591780366541429,0.8790731048806851,0.7216819254641674
wineRed,2,5,0.8429750411750402,0.8006859738287028,0.8116561082324323,0.7916313399476528,0.7842629186281059
wineRed,2,6,0.8221101616875759,0.8006859738287028,0.8116561082324323,0.9729209885099158,0.7409414248397893
wineRed,2,7,0.8221101616875759,0.8006859738287028,0.7569120731666982,0.7916313399476528,0.7216819254641674
wineRed,2,8,0.8221101616875759,0.8044568946011118,0.7569120731666982,0.7246703421911036,0.7216819254641674
wineRed,3,0,0.8384410736103851,0.7596282315163495,0.7907229553329208,0.7717188765366544,0.855673307762288
wineRed,3,1,0.7854642749881662,0.7596282315163495,0.8326002574079141,0.7978413950050796,0.7200316717573982
wineRed,3,2,1.0704074370853884,0.7532579960684961,0.825112356588404,0.993077408564082,0.7918602297320821
wineRed,3,3,1.0704074370853884,0.9654065215885864,0.825112356588404,0.993077408564082,0.7918602297320821
wineRed,3,4,0.7536211241067216,0.7596282315163495,0.7756286834525652,0.7717188765366544,0.9994560216544796
wineRed,3,5,0.8762412809224187,1.0072300770790454,1.0431702187688132,0.993077408564082,0.7200316717573982
wineRed,3,6,0.7854642749881662,0.8299347342989355,0.7418939980380435,0.7717188765366544,0.8222326727777332
wineRed,3,7,0.7536211241067216,0.8395116106213297,1.0431702187688132,0.7978413950050796,0.7244924970417455
wineRed,3,8,0.8009732713291835,0.7748027240473909,0.825112356588404,0.7978413950050796,0.9994560216544796
wineRed,4,0,0.7320598237668927,0.7916349876533098,0.7468008022978975,0.8208258816099807,0.7215579071316702
wineRed,4,1,0.8419135106262401,0.8071745483024557,0.7103948894084281,0.772600935228956,0.7653516130203541
wineRed,4,2,1.0456792841223874,0.7700856029252025,0.7884270641346682,0.9504044061062227,0.7282810609847976
wineRed,4,3,0.7211445772202132,0.790462017842577,0.8291680996484349,0.7704525564831465,0.7019807081576102
wineRed,4,4,0.8050358053072021,0.7766272825588836,0.7465739043937365,0.7704525564831465,0.7891132711588482
wineRed,4,5,0.8041550716054366,1.0352249270730336,0.826674404313166,0.7177228481204485,0.7375435210676582
wineRed,4,6,0.7668398281558696,0.8148343606711235,0.7465739043937365,0.6923238784103043,0.9941391171098213
wineRed,4,7,0.8008042401831659,1.0352249270730336,0.7452973810436285,0.6930275701401237,0.7768187497656115
wineRed,4,8,0.7211445772202132,0.8071745483024557,0.7465739043937365,0.8208258816099807,0.7019807081576102
