dataset,conf,Fold,Rep,RMSE_cv,RMSE_train,RMSE_test
wineWhite,6,0,0,0.8356129874765411,0.8868016787596514,0.8822042123706101
wineWhite,6,0,1,0.8356129874765411,0.9091399703750694,0.908772941263182
wineWhite,6,0,2,0.8356129874765411,0.9028314256028973,0.8925378279879296
wineWhite,6,0,3,0.8356129874765411,0.9169382275082978,0.9364274492892573
wineWhite,6,0,4,0.8356129874765411,0.8103734720907227,0.8010313831696767
wineWhite,6,0,5,0.8356129874765411,0.996042568031738,0.9913340413423882
wineWhite,4,1,0,0.8519486436971248,0.8019952840893267,0.8340615218653415
wineWhite,4,1,1,0.8519486436971248,0.8819204633533678,0.9015546062145433
wineWhite,4,1,2,0.8519486436971248,0.8969583032070936,0.9159059687710461
wineWhite,4,1,3,0.8519486436971248,0.8969583032070936,0.9159059687710461
wineWhite,4,1,4,0.8519486436971248,0.8969583032070936,0.9159059687710461
wineWhite,4,1,5,0.8519486436971248,0.7995853919622433,0.8100100992977816
wineWhite,5,2,0,0.8381686744466533,0.8820088140344874,0.9012089927558117
wineWhite,5,2,1,0.8381686744466533,0.878992206849314,0.8990094730293345
wineWhite,5,2,2,0.8381686744466533,0.8955869786188011,0.9212553243573957
wineWhite,5,2,3,0.8381686744466533,0.8820088140344874,0.9012089927558117
wineWhite,5,2,4,0.8381686744466533,0.8820088140344874,0.9012089927558117
wineWhite,5,2,5,0.8381686744466533,0.8955869786188011,0.9212553243573957
wineWhite,6,3,0,0.8549735081480326,0.9277660670220419,0.892734791068862
wineWhite,6,3,1,0.8549735081480326,0.8698858643834947,0.8530150108748681
wineWhite,6,3,2,0.8549735081480326,0.8139418516283373,0.7864053943449586
wineWhite,6,3,3,0.8549735081480326,0.8699295383904385,0.8571725157607198
wineWhite,6,3,4,0.8549735081480326,0.8200440732217783,0.8119326722385277
wineWhite,6,3,5,0.8549735081480326,0.8200440732217783,0.8119326722385277
wineWhite,5,4,0,0.8655955660382645,0.8201597423896163,0.8114648475656915
wineWhite,5,4,1,0.8655955660382645,0.8873160324411198,0.8801267367404247
wineWhite,5,4,2,0.8655955660382645,0.9021169178877485,0.8954146788866351
wineWhite,5,4,3,0.8655955660382645,0.8201597423896163,0.8114648475656915
wineWhite,5,4,4,0.8655955660382645,0.8201597423896163,0.8114648475656915
wineWhite,5,4,5,0.8655955660382645,0.9021169178877485,0.8954146788866351
