Dataset,Fold,RMSE_train,RMSE_test,expr,disentanglement
airfoil,0,2.1823188658927197,2.41283457824221,log(x0^(2)*x3^(-3)*x4^(2)) + sqrt.abs(x0^(-3)*x1*x2^(-3)*x3) + tanh(x0^(3)*x2^(3)*x3^(-3)*x4^(3)) + sin(x2^(-3)*x3^(-3)*x4^(2)) + tanh(x0^(-2)*x4^(-2)) + tanh(x1^(-1)*x2^(-3)*x3^(-3)) + tanh(x0^(-3)*x1^(-3)*x2^(-1)*x3^(2)*x4^(-3)) + sqrt.abs(x2^(-2)*x4^(-1)) + tanh(x0^(-3)*x3^(2)*x4^(-2)) + sqrt.abs(x0^(-1)*x2^(2)*x3^(2)*x4^(-2)) + sqrt.abs(x0^(2)*x3^(2)*x4^(-2)) + tanh(x2*x3^(-1)*x4^(2)) + tanh(x0^(3)*x1*x2^(3)*x3^(-1)*x4^(2)) + log(x0^(3)*x2^(3)*x4^(-1)) + tanh(x0*x1^(-3)*x2^(2)*x3^(-1)*x4^(-3)) + tanh(x0^(-3)*x2^(-3)*x3*x4^(-1)),0.11399708019008042
airfoil,0,2.192041057898276,2.4007183184186442,log(x0^(-1)*x2^(-3)*x3^(-1)*x4^(2)) + id(x0^(-1)*x1^(2)*x2^(3)*x4^(2)) + tanh(x0^(-3)*x1^(-1)*x2^(-3)*x3^(3)*x4^(-1)) + sqrt.abs(x3^(-1)*x4^(-1)) + id(x0^(-3)*x1^(2)*x2^(-3)*x3^(-3)*x4^(-2)) + sqrt.abs(x0^(3)*x3^(-1)*x4^(-1)) + tanh(x0^(-1)*x1^(3)*x2^(-3)*x3^(-2)*x4^(2)) + exp(x3^(-1)*x4) + sqrt.abs(x0^(-2)*x2^(3)*x3^(3)*x4^(-3)) + sqrt.abs(x0^(-2)*x1^(3)*x2^(-3)) + tanh(x0^(3)*x2^(2)*x3^(-2)*x4) + sqrt.abs(x0^(-2)*x1^(3)*x2^(3)*x3^(3)*x4^(-1)) + tanh(x0^(2)*x1^(-2)*x4^(2)) + exp(x0^(-3)*x1^(2)*x2^(-2)*x3^(-3)*x4^(-2)) + tanh(x0^(-2)*x4^(-2)) + log(x0*x3^(-1)*x4),0.09459572637388415
airfoil,0,2.1613160049445206,2.5047460560555384,sqrt.abs(x0^(3)*x2^(-1)*x3^(-2)) + tanh(x0^(-3)*x1*x2^(-2)*x3^(3)*x4^(-2)) + id(x0^(-3)*x3^(3)*x4^(-1)) + id(x2^(-3)*x3^(-1)) + tanh(x0^(2)*x1*x2^(2)*x3^(-2)*x4) + sqrt.abs(x0^(-1)*x2*x3^(3)*x4^(-1)) + sin(x3^(-3)*x4^(-1)) + sqrt.abs(x0^(-2)*x1^(2)*x2^(-2)*x3) + sqrt.abs(x2^(-2)*x3^(-1)*x4) + tanh(x0^(-3)*x1^(-3)*x2^(-3)*x3^(3)*x4^(-1)) + log(x0^(-1)*x3^(3)) + log(x0^(-3)*x2^(-2)*x3^(-3)*x4^(-3)) + tanh(x0^(-1)*x2^(-2)) + tanh(x0^(-3)*x3^(-1)*x4^(-2)) + tanh(x1*x2*x3^(-2)*x4^(2)) + sqrt.abs(x0^(-3)*x4^(-2)),0.10963764613420612
airfoil,0,2.292535404310599,2.473576887185501,sin(x0^(-3)*x2^(3)*x3*x4) + sin(x0^(-3)*x1*x2^(2)*x3^(-3)*x4^(-3)) + sqrt.abs(x0^(-3)*x2^(3)*x3^(3)*x4^(-3)) + sqrt.abs(x0^(-2)*x2^(-2)*x3^(-1)*x4^(-2)) + tanh(x0^(-3)*x2*x3*x4^(-3)) + log(x3^(-2)*x4^(-1)) + id(x0^(-3)*x1^(3)*x2^(-2)*x3^(3)) + sqrt.abs(x0^(-3)*x1^(3)*x2^(-3)*x3^(3)) + id(x0^(3)*x2*x3^(-2)*x4^(3)) + sqrt.abs(x3^(-1)*x4^(-1)) + sqrt.abs(x0^(-3)*x2^(3)*x3^(3)) + cos(x2^(-2)*x3^(-2)) + tanh(x4^(2)) + sqrt.abs(x0^(2)*x2*x4) + sqrt.abs(x0^(3)*x2^(-1)*x3^(-2)) + tanh(x0^(-3)*x2^(-2)*x3^(2)*x4^(-2)),0.07675637708815754
airfoil,0,2.3192080410237543,2.4977944846169464,tanh(x0^(-3)*x1^(2)*x2^(-3)*x3^(-1)*x4^(-2)) + sin(x0^(-3)*x2^(-2)) + tanh(x0^(2)*x1^(3)*x2^(3)*x3^(3)*x4^(3)) + id(x2^(-1)*x3^(-1)*x4) + exp(x1*x3^(-1)*x4^(3)) + log(x0^(-3)*x2^(-2)*x3^(2)*x4^(-2)) + sqrt.abs(x0^(-3)*x1^(2)*x4^(-3)) + tanh(x0^(-3)*x4^(-3)) + tanh(x0^(3)*x3^(-1)*x4^(3)) + sqrt.abs(x0^(-1)*x2^(2)*x3^(3)*x4) + sqrt.abs(x0^(-2)*x2^(-3)*x4) + id(x0^(-1)*x2^(2)*x3*x4^(-3)) + tanh(x0^(3)*x1^(3)*x2^(3)*x3^(-2)*x4^(2)) + cos(x1^(3)*x2*x3^(3)*x4^(-3)) + tanh(x0^(3)*x2^(2)*x3^(-2)*x4^(2)) + sqrt.abs(x0^(3)*x4),0.11486082872216924
airfoil,0,2.1962202992858413,2.427167239541885,cos(x1*x2^(-2)*x3*x4^(3)) + sqrt.abs(x1^(3)*x2^(-3)*x3^(-3)*x4^(-3)) + exp(x0^(-1)*x1^(3)*x2^(-1)*x3^(-3)*x4^(3)) + sin(x1*x3^(-2)*x4^(2)) + tanh(x0^(-3)*x1^(2)*x2^(-1)*x3^(-1)*x4^(-3)) + log(x0^(-2)*x2^(-1)*x3*x4^(-1)) + sqrt.abs(x0^(-2)*x2^(-3)*x3^(2)*x4^(2)) + tanh(x0*x1*x2*x3^(-2)*x4) + sqrt.abs(x0^(-1)*x2^(2)*x3^(3)*x4^(-2)) + sin(x0^(-2)*x1*x2^(3)*x4) + tanh(x0^(2)*x1^(-3)*x2^(-2)*x3^(-1)*x4) + tanh(x0^(-1)*x1^(-2)*x2*x3^(3)) + cos(x2^(-2)) + tanh(x0^(-1)*x4^(-1)) + tanh(x0^(-3)*x2^(-2)*x3^(2)*x4^(-1)) + sqrt.abs(x0^(-3)*x4^(-2)),0.0967313681444404
airfoil,1,2.2649491946969724,2.387025695263598,exp(x1*x3^(-1)*x4^(2)) + sqrt.abs(x0^(-2)*x1*x3) + sqrt.abs(x0^(2)*x2^(-1)*x3^(-1)) + sqrt.abs(x0^(-2)*x1*x2^(-2)) + tanh(x0^(-2)*x4^(-2)) + sin(x2^(-2)) + cos(x0^(-2)*x1^(2)*x2^(-1)*x3^(-2)*x4^(-2)) + tanh(x0^(-2)*x2*x3^(2)*x4^(-2)) + log(x0^(-2)*x2^(-2)*x3^(2)*x4^(-2)) + sqrt.abs(x0^(-1)*x1*x2^(-2)*x3^(-1)*x4) + tanh(x0^(-2)*x2^(-2)*x4^(-2)) + sqrt.abs(x2^(-1)*x3^(-2)*x4^(-1)) + log(x2^(-1)*x4^(-2)) + sin(x0^(-2)*x2^(-2)) + tanh(x1^(-1)*x3^(-2)*x4^(-1)) + tanh(x0^(2)*x1^(2)*x2^(2)*x3^(-2)*x4),0.13335104442173393
airfoil,1,2.3374942116555752,2.368853209863324,sin(x0^(-1)*x3^(-2)*x4^(-2)) + sqrt.abs(x0^(2)*x2^(2)*x3^(-2)*x4^(2)) + tanh(x0*x2^(-2)*x3^(-2)*x4) + tanh(x0^(2)*x2*x4^(2)) + tanh(x3^(-2)*x4^(-1)) + id(x1^(2)*x2*x3^(-1)*x4) + tanh(x0^(-1)*x1^(2)*x2^(-2)*x3^(-1)*x4^(2)) + tanh(x0^(-2)*x1^(2)*x2^(-1)*x4^(-1)) + exp(x0^(-2)*x2^(-2)) + tanh(x0^(-2)*x4^(-2)) + tanh(x0^(-2)*x2^(-2)*x3) + log(x0^(-2)*x2^(-2)*x3*x4^(-1)) + sqrt.abs(x0^(2)*x2^(-1)*x3^(-1)) + id(x0^(-2)*x1^(2)*x2^(-2)) + log(x2*x3*x4) + id(x2*x4^(-2)),0.1465736502226571
airfoil,1,2.313532871336963,2.2628225407487053,id(x0^(-2)*x3^(-1)*x4^(-2)) + sqrt.abs(x0^(-2)*x1^(2)*x2^(-2)*x4) + tanh(x0^(-1)*x1^(-2)*x2^(-2)*x4^(-1)) + tanh(x0^(2)*x2*x3^(-1)*x4^(2)) + tanh(x0^(-1)*x4^(-1)) + log(x2*x3^(2)*x4^(-1)) + tanh(x0^(2)*x2^(2)*x4) + tanh(x0^(-1)*x1^(2)*x2^(-2)*x3^(-2)*x4) + sqrt.abs(x0^(2)*x3^(-1)*x4^(-2)) + cos(x1*x2*x4) + log(x0^(2)*x2^(2)) + log(x0^(2)*x2*x3*x4) + sin(x0^(-2)*x1*x2^(-2)*x3*x4^(2)) + sqrt.abs(x2^(2)*x3^(2)*x4^(2)) + tanh(x0^(-2)*x2^(-2)*x4^(-1)) + sqrt.abs(x2*x3^(-1)*x4^(-2)),0.14837106722650048
airfoil,1,2.170699847158156,2.2126767384123407,cos(x0^(-1)*x1^(2)*x3^(-1)) + tanh(x0^(-2)*x1*x4^(-2)) + sqrt.abs(x0^(-2)*x2^(2)*x4^(2)) + log(x0^(-1)*x2^(2)*x3^(2)*x4^(-1)) + tanh(x0^(-2)*x2^(-1)*x3*x4^(-1)) + sqrt.abs(x0*x2^(2)*x3^(-1)*x4) + sqrt.abs(x0^(2)*x2^(-2)*x3^(2)) + sqrt.abs(x3*x4^(-1)) + tanh(x0^(-2)*x1^(-2)*x3^(2)*x4^(-2)) + sqrt.abs(x0^(-2)*x1*x2*x3^(2)) + cos(x1*x2^(-2)*x4^(2)) + sqrt.abs(x1^(2)*x3^(-1)*x4^(2)) + log(x0*x2^(2)) + sqrt.abs(x0^(-2)*x1^(2)*x2^(-1)*x3^(2)*x4^(-1)) + tanh(x0^(-2)*x2^(2)*x3*x4^(-2)) + tanh(x0*x2^(2)*x3^(-2)*x4^(-2)),0.12550658599965808
