dataset,conf,Fold,RMSE_train,RMSE_test
airfoil,"{'n_jobs': None, 'n_neighbors': 179, 'weights': 'distance'}",0,6.085912191855688,5.991676762634999
airfoil,"{'n_jobs': None, 'n_neighbors': 179, 'weights': 'distance'}",1,6.2516315352681255,5.761460812232477
airfoil,"{'n_jobs': None, 'n_neighbors': 179, 'weights': 'distance'}",2,6.281534827479668,5.719953011139282
airfoil,"{'n_jobs': None, 'n_neighbors': 179, 'weights': 'distance'}",3,6.29213299529642,6.006403917727008
airfoil,"{'n_jobs': None, 'n_neighbors': 179, 'weights': 'distance'}",4,6.126346470278113,6.341318559380167
yacht,"{'n_jobs': None, 'n_neighbors': 5, 'weights': 'distance'}",0,11.60011963873125,7.192730853764668
yacht,"{'n_jobs': None, 'n_neighbors': 5, 'weights': 'distance'}",1,11.42893420089097,9.963662797383755
yacht,"{'n_jobs': None, 'n_neighbors': 1, 'weights': 'distance'}",2,10.758165203040726,8.443382023810129
yacht,"{'n_jobs': None, 'n_neighbors': 3, 'weights': 'distance'}",3,10.660352813978523,10.070486411819813
yacht,"{'n_jobs': None, 'n_neighbors': 1, 'weights': 'distance'}",4,11.668508281695615,6.238448078346852
concrete,"{'n_jobs': None, 'n_neighbors': 7, 'weights': 'distance'}",0,9.768239490568165,7.017100070242369
concrete,"{'n_jobs': None, 'n_neighbors': 5, 'weights': 'distance'}",1,9.41738138315763,7.627776588544256
concrete,"{'n_jobs': None, 'n_neighbors': 5, 'weights': 'distance'}",2,9.211919636829617,8.36896146177874
concrete,"{'n_jobs': None, 'n_neighbors': 5, 'weights': 'distance'}",3,9.05485813735802,8.33386430538169
concrete,"{'n_jobs': None, 'n_neighbors': 3, 'weights': 'distance'}",4,9.348194722225818,7.7903254793323695
energyCooling,"{'n_jobs': None, 'n_neighbors': 5, 'weights': 'distance'}",0,2.5757316997323434,2.1578942153506167
energyCooling,"{'n_jobs': None, 'n_neighbors': 5, 'weights': 'distance'}",1,2.588091298537337,2.1035352382188157
energyCooling,"{'n_jobs': None, 'n_neighbors': 3, 'weights': 'distance'}",2,2.4910074497895187,2.4660353899395417
energyCooling,"{'n_jobs': None, 'n_neighbors': 3, 'weights': 'distance'}",3,2.51555952259405,2.2957285722763427
energyCooling,"{'n_jobs': None, 'n_neighbors': 3, 'weights': 'distance'}",4,2.589950308101333,2.086205673384097
energyHeating,"{'n_jobs': None, 'n_neighbors': 57, 'weights': 'distance'}",0,3.0217348991636737,3.7620872950311584
energyHeating,"{'n_jobs': None, 'n_neighbors': 3, 'weights': 'distance'}",1,3.0740643143941964,2.9644459997926544
energyHeating,"{'n_jobs': None, 'n_neighbors': 81, 'weights': 'distance'}",2,3.1828224137909085,2.986112028344344
energyHeating,"{'n_jobs': None, 'n_neighbors': 5, 'weights': 'distance'}",3,3.210375299060547,2.3299907847442123
energyHeating,"{'n_jobs': None, 'n_neighbors': 27, 'weights': 'distance'}",4,3.1973002177415037,2.9048899014668215
wineRed,"{'n_jobs': None, 'n_neighbors': 27, 'weights': 'distance'}",0,0.7253591912900916,0.6440309609810478
wineRed,"{'n_jobs': None, 'n_neighbors': 21, 'weights': 'distance'}",1,0.7210143404836795,0.6350626832587194
wineRed,"{'n_jobs': None, 'n_neighbors': 19, 'weights': 'distance'}",2,0.7132219857027737,0.6380753236263976
GeographicalOriginalofMusic,"{'n_jobs': None, 'n_neighbors': 7, 'weights': 'distance'}",0,32.58580923304119,35.18434291315921
GeographicalOriginalofMusic,"{'n_jobs': None, 'n_neighbors': 5, 'weights': 'distance'}",1,34.17192622226979,29.215723620498505
GeographicalOriginalofMusic,"{'n_jobs': None, 'n_neighbors': 5, 'weights': 'distance'}",2,33.158417883611286,31.680476718927284
GeographicalOriginalofMusic,"{'n_jobs': None, 'n_neighbors': 7, 'weights': 'distance'}",3,34.173138781077995,27.024016281416245
GeographicalOriginalofMusic,"{'n_jobs': None, 'n_neighbors': 7, 'weights': 'distance'}",4,33.37077937558078,29.05189741547673
tecator,"{'n_jobs': None, 'n_neighbors': 3, 'weights': 'distance'}",0,1.7604827393075244,1.3194467397699166
tecator,"{'n_jobs': None, 'n_neighbors': 5, 'weights': 'distance'}",1,1.6044721367504269,1.5189684114772712
tecator,"{'n_jobs': None, 'n_neighbors': 3, 'weights': 'distance'}",2,1.611680249721093,1.8566004398143257
tecator,"{'n_jobs': None, 'n_neighbors': 5, 'weights': 'distance'}",3,1.6457572384925503,1.179699950843969
tecator,"{'n_jobs': None, 'n_neighbors': 5, 'weights': 'distance'}",4,1.6893231704987346,0.9947249293205443
