dataset,conf,Fold,RMSE_train,RMSE_test
airfoil,"{'alpha': 0.001, 'solver': 'auto'}",0,4.831697683774281,4.739717830338228
airfoil,"{'alpha': 0.001, 'solver': 'auto'}",1,4.816855595629713,4.819301158593769
airfoil,"{'alpha': 0.001, 'solver': 'svd'}",2,4.834848107391973,4.74461252904386
airfoil,"{'alpha': 0.001, 'solver': 'svd'}",3,4.853983541133929,4.674748405490948
airfoil,"{'alpha': 0.0001, 'solver': 'auto'}",4,4.741598030934506,5.11816543291263
concrete,"{'alpha': 1000.0, 'solver': 'sparse_cg'}",0,10.53083350398342,10.125728202155148
concrete,"{'alpha': 1000.0, 'solver': 'auto'}",1,10.310359514702073,10.953212508217574
concrete,"{'alpha': 1000.0, 'solver': 'sparse_cg'}",2,10.4124955827896,10.978443053178287
concrete,"{'alpha': 1000.0, 'solver': 'sag'}",3,10.492855526641772,10.261105550686805
concrete,"{'alpha': 1000.0, 'solver': 'auto'}",4,10.615139015862397,9.902881783746338
energyCooling,"{'alpha': 1e-05, 'solver': 'svd'}",0,3.2143874929935596,3.2021745634987884
energyCooling,"{'alpha': 1e-05, 'solver': 'svd'}",1,3.2196076515069563,3.200177845400274
energyCooling,"{'alpha': 1e-05, 'solver': 'svd'}",2,3.2416323977145844,3.1124046936161
energyCooling,"{'alpha': 1e-05, 'solver': 'svd'}",3,3.1815034245803417,3.4007684498686324
energyCooling,"{'alpha': 1e-05, 'solver': 'auto'}",4,3.235855809779454,3.1580896199078814
energyHeating,"{'alpha': 0.001, 'solver': 'svd'}",0,2.8896294026635863,3.1608537310355738
energyHeating,"{'alpha': 0.001, 'solver': 'svd'}",1,2.9676508219341846,2.86578196512654
energyHeating,"{'alpha': 0.001, 'solver': 'auto'}",2,2.998050211459676,2.8477356491099686
energyHeating,"{'alpha': 1e-05, 'solver': 'auto'}",3,2.9135287679912363,3.1142740703972267
energyHeating,"{'alpha': 0.001, 'solver': 'svd'}",4,3.0149943559434838,2.722222266736952
Geographical,"{'alpha': 100.0, 'solver': 'auto'}",0,43.555657446412106,44.22107438155385
Geographical,"{'alpha': 100.0, 'solver': 'auto'}",1,43.54127833761053,43.479067559718374
Geographical,"{'alpha': 100.0, 'solver': 'auto'}",2,43.94408126239522,41.910165190780575
Geographical,"{'alpha': 100.0, 'solver': 'auto'}",3,44.04204297657462,41.33071457850549
Geographical,"{'alpha': 100.0, 'solver': 'sparse_cg'}",4,43.49584763895301,43.825036809559954
towerData,"{'alpha': 10.0, 'solver': 'auto'}",0,30.420124192967787,30.478458432764306
towerData,"{'alpha': 10.0, 'solver': 'auto'}",1,30.79620998097909,29.311950455718218
towerData,"{'alpha': 10.0, 'solver': 'svd'}",2,31.03915093804043,28.042748163054572
towerData,"{'alpha': 0.001, 'solver': 'svd'}",3,28.474778460839712,36.7521028882481
towerData,"{'alpha': 10.0, 'solver': 'auto'}",4,30.83678065726657,28.64540263101829
tecator,"{'alpha': 1.0, 'solver': 'sag'}",0,0.7399692756651829,0.7513821208440571
tecator,"{'alpha': 10.0, 'solver': 'auto'}",1,0.8406617422084842,0.7219263623749839
tecator,"{'alpha': 10.0, 'solver': 'auto'}",2,0.8001920250462075,0.7789279231532253
tecator,"{'alpha': 1e-05, 'solver': 'svd'}",3,0.7889290762817713,0.7985183952697731
tecator,"{'alpha': 10.0, 'solver': 'auto'}",4,0.8171583170776413,0.6453320369405144
wineRed,"{'alpha': 0.1, 'solver': 'auto'}",0,0.6511946465318577,0.6524558875294789
wineRed,"{'alpha': 0.1, 'solver': 'auto'}",1,0.6579671246570978,0.623491149995629
wineRed,"{'alpha': 0.1, 'solver': 'svd'}",2,0.6562431815135228,0.6357217181795066
wineRed,"{'alpha': 0.1, 'solver': 'auto'}",3,0.6533359480837136,0.6454089524509219
wineRed,"{'alpha': 0.1, 'solver': 'auto'}",4,0.6393168329158073,0.6963436103131863
wineWhite,"{'alpha': 0.0001, 'solver': 'svd'}",0,0.7544770460996849,0.7481681471875905
wineWhite,"{'alpha': 0.0001, 'solver': 'svd'}",1,0.7523096145835733,0.7568978350724518
wineWhite,"{'alpha': 1e-05, 'solver': 'svd'}",2,0.7475633011760314,0.7755142309864448
wineWhite,"{'alpha': 0.0001, 'solver': 'svd'}",3,0.7554084980476052,0.7470617511836113
wineWhite,"{'alpha': 0.0001, 'solver': 'svd'}",4,0.7559782872667233,0.7440824016745765
yacht,"{'alpha': 0.0001, 'solver': 'saga'}",0,9.072076046919939,8.307247141422376
yacht,"{'alpha': 0.01, 'solver': 'saga'}",1,8.855776493546852,9.207403100230511
yacht,"{'alpha': 1e-05, 'solver': 'saga'}",2,9.009115017275347,8.714814206537259
yacht,"{'alpha': 0.01, 'solver': 'lsqr'}",3,8.730258963394983,10.077777890560236
yacht,"{'alpha': 0.01, 'solver': 'lsqr'}",4,9.106182882349193,8.602257498968706
