dataset,Fold,conf,RMSE_0,RMSE_1,RMSE_2,RMSE_3,RMSE_4
concrete,0,0,16.202677781258345,13.171202097713444,13.458281918023722,11.589207733264086,17.493961845244392
concrete,0,1,11.982440228209095,13.099908785077153,14.922190913386395,10.298862741000802,17.687026214639328
concrete,0,2,11.870826566168974,15.196389861057465,15.958448580086033,14.458096001065636,13.378128624736489
concrete,0,3,11.870826566168974,11.59506100364768,14.922190913386395,12.140750613025794,16.62156279561851
concrete,0,4,12.376014272228579,10.733247118624972,11.51617503594098,10.264515618924486,15.790140607247753
concrete,0,5,14.026600299407127,14.196470846240885,13.564783639021275,12.026256480265774,17.15665122711415
concrete,0,6,12.324696599445572,9.518858065966905,12.778739124934402,11.254505437990773,12.82188377465232
concrete,0,7,11.526481913021913,12.730496957536962,10.594518961434522,16.212002007009286,13.216764122906088
concrete,0,8,11.870826566168974,10.735304809301061,11.721408284391416,12.026256480265774,13.300674086685047
concrete,1,0,11.005563806713846,10.059360285302608,11.78910449269187,15.708529717916713,14.573098995447864
concrete,1,1,17.24051773131534,9.645618224147686,15.179551055457349,13.087827532474902,16.327653469222412
concrete,1,2,14.053546219939662,13.916213386832736,13.370066401566215,15.684091119553981,12.737569369808874
concrete,1,3,12.305062540806107,13.916213386832736,11.135191049811013,13.371712879167154,17.472117912859012
concrete,1,4,12.607511566435855,9.841205842326527,13.446356849516716,10.95785375622566,12.40112105718898
concrete,1,5,16.013793720606326,16.495495639342078,15.179551055457349,15.935526921645332,14.513116360734234
concrete,1,6,11.786864080136896,13.677276691917058,10.54876690396136,13.68112609136527,16.527794297474653
concrete,1,7,10.319659427147776,11.921821954861686,13.251224696589649,11.985598042629885,12.383934834528336
concrete,1,8,9.930956370360585,9.712674846204461,10.869961662526203,11.985598042629885,16.128732075038645
concrete,2,0,12.681026746044754,9.327479110883251,12.310930531261851,12.675049677636327,12.209190357415245
concrete,2,1,17.821893707572613,10.656733844145213,12.203928981846607,15.28261445588114,12.303224870317775
concrete,2,2,11.942097406921658,15.150856280234175,10.1929410316195,11.362529747069617,16.437427877083
concrete,2,3,15.222886413730045,10.3201367867952,14.510026792982307,13.210242824712449,17.373479566628554
concrete,2,4,13.930023538758487,14.241443008823738,9.269334877677489,11.737856343266506,12.653300629547674
concrete,2,5,14.016183452067713,16.70471563914701,11.298251753665669,15.402888147750057,16.793520697328425
concrete,2,6,12.084825862666305,11.586782257745217,11.980344236419127,16.131690316015234,16.988365584772307
concrete,2,7,14.387223150324738,10.71236647872386,14.026128592940964,12.020661444120002,17.553153815105258
concrete,2,8,15.222886413730045,10.462770846872226,10.669143380195768,11.737856343266506,17.373479566628554
concrete,3,0,10.141125152913613,14.542816792121894,15.199953497130046,11.783903792826095,12.416680868971765
concrete,3,1,16.522500902467645,13.040826566757305,14.445999785480517,16.416312914793448,10.17287285134032
concrete,3,2,12.818798177722671,14.542816792121894,17.223533982905835,13.074586897494276,12.939549398499027
concrete,3,3,13.434735992841636,14.538441300584559,13.573105869041619,12.957906231777105,15.597721520403544
concrete,3,4,15.546493161768376,14.324856325271016,14.18756573476402,15.121790956890962,11.040800937401581
concrete,3,5,18.192933310483085,15.220713828632519,10.018660675985911,14.870214794007607,16.438612309809994
concrete,3,6,16.462498432989502,15.288241902337248,11.140006040131748,12.957906231777105,11.882341454619715
concrete,3,7,13.953705034254913,10.815868028483449,12.34533442424485,11.616385416411918,14.924460812043275
concrete,3,8,12.240581713350025,14.683587463630895,12.226213690076245,14.870214794007607,14.60791552951087
concrete,4,0,12.304428556547013,15.886850573765773,15.634645512426452,12.639149946537625,10.114031483574854
concrete,4,1,14.123640855819202,13.72153948950746,10.437525132156262,16.388632997957007,17.255739709795588
concrete,4,2,15.963595433324143,14.932901900547522,14.843201699007638,15.794230203433699,15.116211154163322
concrete,4,3,11.751084694926261,15.484501813053033,14.589514440638997,12.67075549303911,15.404899602364578
concrete,4,4,15.50940618025344,16.722690716038276,17.694397677878662,18.138697235985166,10.82522768344646
concrete,4,5,14.371454782217057,13.734678605412887,14.163761504784615,15.254355299405871,15.694060625750321
concrete,4,6,14.294104794011085,14.327944335962867,17.694397677878662,11.326890621118261,10.825227683446462
concrete,4,7,12.067075876954847,15.457998995258471,14.17742429395286,14.38910599728283,10.307061853887493
concrete,4,8,17.22688925936794,17.969650565051232,14.996540826608904,14.209911926125933,15.334814465390034
