dataset,Fold,conf,RMSE_0,RMSE_1,RMSE_2,RMSE_3,RMSE_4
tecator,0,0,3.4130396721314407,3.3287413810349302,3.2021811673363976,1.3035379397338822,3.172756271020836
tecator,0,1,2.6832375707566896,2.6038668953427786,3.4391637750672306,2.3534001106663336,2.2499474998771074
tecator,0,2,2.538540227685089,3.2220699776988213,4.383873925123726,6.154924402094108,3.5039676663902166
tecator,0,3,4.054395448172547,2.4258415854369164,3.967792108781626,1.6440764558635723,2.327924975828924
tecator,0,4,3.499406245802473,4.4796757968253935,2.675238344059736,2.0085746177054484,2.4974296823370317
tecator,0,5,2.9626374278677265,2.9837143955893306,3.3744629143096145,1.2366061274878009,2.8087917625949546
tecator,0,6,2.458382269562158,2.8689745603289065,3.4370629050692285,1.9767797988978104,1.5922066803505397
tecator,0,7,4.054395448172547,3.3287413810349302,2.5604179772316424,2.4417452523829226,2.6389747132912658
tecator,0,8,3.7271227060550354,3.1607013081810225,2.8929083702795313,4.8842199914295215,2.123222830349422
tecator,1,0,2.5200063573273104,1.438556081834385,3.2454202469794984,3.790574225523239,3.6472130761968833
tecator,1,1,1.6480840007447364,2.5607435360165742,3.7918624290794436,2.7138068350286964,2.3254351556459762
tecator,1,2,2.9083774081582274,3.0035648246743034,3.8412983364947575,3.214372979146058,2.778369678373012
tecator,1,3,2.5141908094989325,2.0279484061877224,4.069784011898623,2.4510601734486936,2.3254351556459762
tecator,1,4,2.982606710385593,2.5782230709279004,3.5543465208445735,3.278286834815685,2.0475959932501726
tecator,1,5,2.965007618670607,2.5005154372639407,4.753869036634537,4.235671502924112,1.693889193753383
tecator,1,6,2.7671301609079264,2.1563748233319986,3.079237287638905,1.8141450968617263,3.207407760658005
tecator,1,7,2.1500537554460637,2.538013024404964,4.065147032609517,2.7653975174576195,2.7795207922368284
tecator,1,8,1.999821669174642,2.12619461784768,4.553189188714084,2.9535878112715253,5.174625834692794
tecator,2,0,2.6012486265531267,3.3595799540512123,1.5276215800329815,3.1061368197768613,2.3560933570931493
tecator,2,1,2.5952615241356343,2.5752240379239697,2.542359964451538,2.5599398469483576,2.3755821578082443
tecator,2,2,3.245156938433277,2.8246518198301445,3.9613206402113392,3.4990051512491065,3.5668126945303262
tecator,2,3,2.8671516992557784,1.2401404815274149,3.035659536697996,3.1523209369282017,1.8369234066228548
tecator,2,4,3.0980448501096185,1.6081619513001884,2.0525148134560682,2.5765202594995187,3.418266488385157
tecator,2,5,2.5952615241356343,2.4636444810603657,3.3890050807235985,4.863074928131347,2.438983454337598
tecator,2,6,2.492942993572097,3.429760149355169,2.6986602230560965,1.6137427979949328,2.8123318515199287
tecator,2,7,3.0975618972397325,2.167126519662524,3.307904556725908,3.3865097411922287,3.197404793684741
tecator,2,8,2.5949940151478987,1.5649074426730372,2.86219879135151,2.2571206850829357,2.7159109112237068
tecator,3,0,2.46911268138116,5.090250294965843,3.242069593220777,2.8850625632285176,2.34344760759753
tecator,3,1,9.743770332764498,3.4337736170378674,2.2133912027068288,3.12092396737112,2.058754172403148
tecator,3,2,3.0915551581029486,4.967373399025564,2.542880047428484,4.414612418153551,4.592695070807489
tecator,3,3,3.6350839985371612,3.195356575866324,2.060390756294671,1.4395942995190818,2.2104464693965507
tecator,3,4,3.2196633617026738,1.5325654807888425,2.9486184929775843,3.1751781699518498,3.7150933011376153
tecator,3,5,3.539020197382181,2.331305627118663,3.585148310084538,3.7705995351326775,3.1028606008393327
tecator,3,6,3.962701398085673,3.018551367705971,3.215382159738009,2.923247131045944,1.9759882634125765
tecator,3,7,3.617607091153782,3.463585693445871,3.7764230908660985,3.251291061305753,3.216665170519947
tecator,3,8,2.679406583441593,2.3811081387210056,3.7871816578538815,4.479364229415254,2.400949716690973
tecator,4,0,3.1878252873793373,2.251029440197188,3.544494670748457,2.0905176748777485,1.992308120172798
tecator,4,1,2.7131707594202634,4.07031543984681,3.192443412980155,2.920410196079077,3.2753450088114313
tecator,4,2,3.7849201815458824,8.334774293908815,4.334765802140127,3.217246392003496,3.302300843225442
tecator,4,3,2.6120462147008037,2.7067523908849904,3.5132732069198194,3.580706882683829,3.2220019600092367
tecator,4,4,1.9017218101443345,2.444346622831089,3.188596197367534,3.694728190966618,3.2094186498334505
tecator,4,5,3.7812291712563715,3.035035044320306,3.2589950957026304,4.038623872565949,2.3228166406360726
tecator,4,6,1.9387741736998876,1.572525498977187,3.544739923421272,3.6234843876206715,2.074521071415313
tecator,4,7,3.3217455837670897,2.381339553434234,3.897062435801304,2.4737304421244226,4.020028422773815
tecator,4,8,3.7290439241469504,1.6800838810697107,2.9435169286527367,3.8119436307706707,3.2048655146636094
