dataset,Fold,conf,RMSE_0,RMSE_1,RMSE_2,RMSE_3,RMSE_4
towerData,0,0,65.16772459459996,76.27214006951216,61.37641970382871,69.9694335584546,63.35092131903834
towerData,0,1,69.03148733056042,68.07484479747629,62.85515251207025,61.194299186127395,68.20292793277103
towerData,0,2,76.09410433399525,63.932678411144025,69.46096078955141,66.61096045766219,76.62284832223642
towerData,0,3,79.85836397979338,60.70202446683109,73.27074964408622,81.97183152389222,67.46390737923119
towerData,0,4,68.75136615787899,76.27214006951216,83.26538829382318,73.84235039159394,74.10832905060992
towerData,0,5,76.09410433399526,73.85127896648521,61.841591338323155,68.48759878471998,67.46390737923119
towerData,0,6,61.95603012848294,71.69265371643175,70.69749727512762,67.13654998989901,74.0928721675628
towerData,0,7,68.55955609216322,54.48717988190976,63.275525859626896,62.2812988839329,67.46390737923119
towerData,0,8,64.66034741775124,63.932678411144025,83.26538829382318,71.72776562585257,66.89135277196392
towerData,1,0,68.79815513893165,77.90339783972698,59.666036750527105,80.02928200407872,72.356506726048
towerData,1,1,68.56166362884818,75.03837737656026,61.93083156684418,62.72844961956845,73.18890727025381
towerData,1,2,70.19885322456078,81.60342923253955,82.61147758115062,71.8278465567503,68.23926090175935
towerData,1,3,64.6815612126883,81.60342923253955,75.19037896079159,66.21568263257265,66.54017615634525
towerData,1,4,82.49097593719493,71.8913560810864,74.28201256773525,65.8643028935863,69.7173834692884
towerData,1,5,76.01262839155874,75.03837737656026,69.71974387712667,71.4400166382426,71.77942787965955
towerData,1,6,68.41888960851556,61.93837208103604,63.43464704661417,85.29834685690483,75.06046803993397
towerData,1,7,64.80606974045871,70.66640017744537,64.82426247092718,69.65253917252878,59.67998697071718
towerData,1,8,71.81066334889896,75.03837737656026,63.43464704661417,77.82925235395345,69.90654190945641
towerData,2,0,57.383442609496676,63.636312991950504,64.62416490064408,62.18682346140894,70.88356428537949
towerData,2,1,62.970974483762646,64.9930327185448,63.95010999309898,72.75601792929504,62.81541319494921
towerData,2,2,78.8566896178192,81.40443780800098,63.392993147283725,65.25015281153948,81.44448025842534
towerData,2,3,67.19514369776199,59.58588175262422,68.87920674544722,73.55994737531213,81.17536811619182
towerData,2,4,67.0274896408573,81.40443780800098,58.574522187847116,74.80834114297936,70.88356428537949
towerData,2,5,71.22162158685492,75.8190614176667,68.76254124459807,68.89534208823025,69.07056289796004
towerData,2,6,67.19514369776199,64.9930327185448,66.75353396340222,58.46441239565034,79.09042599272121
towerData,2,7,72.64968105303498,72.51688067706908,78.11357950339071,62.85370507134504,66.96177016952379
towerData,2,8,70.81123800704924,82.28255940362129,63.73628543924767,65.25015281153948,76.09484892811923
towerData,3,0,81.71070403242861,65.91761907211064,63.902179112384474,56.231896716856156,74.75322816250511
towerData,3,1,74.95249118046486,69.30543627878673,72.38059109338906,67.58933422022474,65.7746506136232
towerData,3,2,69.619681367526,72.62748552962476,80.01309547789195,61.65676148955686,69.35303411136647
towerData,3,3,71.01392989563381,59.65129479760042,59.92972482678813,84.11876159242358,71.42258133154992
towerData,3,4,67.51054957278907,66.08238719358162,65.60735750858882,70.5954320663562,72.25611926773166
towerData,3,5,68.65139777818878,72.62748552962476,75.10013678543626,71.14651835461936,76.4435829716316
towerData,3,6,62.91229853388095,65.91761907211064,76.81077596202846,84.11876159242358,67.32615676220732
towerData,3,7,81.71070403242861,68.58892355494561,72.67974659376094,58.82763325341004,69.11648297387265
towerData,3,8,73.53096468608213,81.30115172217859,72.67974659376094,69.32114005618196,69.91609524246212
towerData,4,0,65.98355229581857,74.52409460320642,81.58041695559565,83.88807622651417,76.96003646825578
towerData,4,1,81.18875324956288,69.48045245727779,84.07494142412354,72.27693719931331,78.23478596737097
towerData,4,2,84.0381541626978,75.67930414006376,73.94826554733588,68.16143665292533,79.56787570047494
towerData,4,3,65.98355229581857,82.40777382481163,62.95456268216326,83.88807622651417,80.09986445767346
towerData,4,4,65.98355229581857,82.40777382481163,65.50392644011289,78.84741696358266,66.07020456913123
towerData,4,5,67.05795827501498,71.58423683319423,67.90526871784219,83.88807622651417,76.96003646825578
towerData,4,6,61.80835899726517,72.80473544850437,65.69766430186506,69.40829276572933,78.23478596737097
towerData,4,7,66.55213314669741,68.64219081289018,81.58041695559565,65.40099320473627,55.20674509037336
towerData,4,8,65.47171328026144,65.53776711147714,75.30148398410331,67.36774905442583,85.3557103705447
