dataset,Fold,conf,RMSE_0,RMSE_1,RMSE_2,RMSE_3,RMSE_4
yacht,0,0,7.230874474955013,3.714141933901804,2.60684585483114,3.5600433304543944,11.786344063211093
yacht,0,1,5.124946143755079,17.927729998821274,4.433225270070375,4.506461930105659,9.819153314810876
yacht,0,2,5.758841168783668,2.297939509998085,2.7201707038248824,6.637732346214997,8.654712474048555
yacht,0,3,4.182016613221928,5.3066920318735775,4.5818938235487865,2.8855591462711114,3.236040436536129
yacht,0,4,11.440793735778055,7.819897921320022,2.924253601810073,9.782304065524512,11.786344063211093
yacht,0,5,7.533700440001212,6.142476656565359,5.5840336849147585,3.2143868571969527,3.9564997784008775
yacht,0,6,3.520904869745712,7.042534840599499,9.414614208373477,2.0859238842478303,4.960640557451534
yacht,0,7,9.789559331515608,7.819897921320022,6.588097205645329,3.016068633537784,11.786344063211093
yacht,0,8,5.072721099902634,7.819897921320022,1.307469004998844,4.120736005399554,11.786344063211093
yacht,1,0,5.643219511558378,5.148784484323229,5.162574114492523,7.0292285983287295,6.923374883188847
yacht,1,1,6.558939682599336,5.308558880890745,3.858780863303565,5.992157720383692,12.811691360984018
yacht,1,2,6.558939682599336,7.041123276158397,5.225517728322256,15.219644316131845,15.447078959168625
yacht,1,3,3.2611251060019617,5.148784484323229,8.527790047294848,3.6330236121920296,11.76018002743094
yacht,1,4,7.740548158338764,4.47473736168604,6.8794036012318,3.8419553386853975,4.070215163717877
yacht,1,5,4.290304241580535,3.5303072215237195,3.964149301777928,13.07576607222593,11.76018002743094
yacht,1,6,6.140759308652778,5.148784484323229,2.8216904142561523,4.384282491716364,6.878084480614186
yacht,1,7,6.558939682599336,6.055810687806289,3.4873791726294656,5.631618068190999,2.6063681518178017
yacht,1,8,5.191043315342165,5.148784484323229,8.527790047294848,4.371513851764775,3.3305608314577646
yacht,2,0,12.289697560555911,6.756702843256829,17.403576174733008,3.6221824166466345,5.204287509850458
yacht,2,1,11.994335875050282,7.22808250517726,8.976749017352185,5.040583144659834,7.878993052694973
yacht,2,2,5.281970833310785,5.504956646035277,8.976749017352185,4.122426905249089,7.4348129952571025
yacht,2,3,4.314970782049959,7.359726689433949,2.4150828940500517,14.150909935329173,8.34425039577158
yacht,2,4,6.262832522270467,5.981572994642472,2.8346692602765606,5.6021828952444555,7.499922731912473
yacht,2,5,3.101059857938413,5.5282506206328295,8.976749017352185,6.656428221618108,9.609022672912733
yacht,2,6,4.986479157225424,5.46137011348076,8.976749017352185,3.113526072043308,11.686664566658893
yacht,2,7,3.30947896098664,1.2453249287952706,4.879068256511678,4.4952630516383865,8.826022449410551
yacht,2,8,3.1655228911181874,5.235219748432064,11.394122713659177,6.665672161974323,2.1439539447498497
yacht,3,0,15.258906923554168,10.441171995795557,9.783557723054317,6.820341123464514,1.2229007526901223
yacht,3,1,5.96699211356318,10.441171995795557,6.843883205303347,2.9371409226919662,11.482895368723938
yacht,3,2,5.96699211356318,10.441171995795557,5.697373255853635,7.376497880789044,3.5258126351168784
yacht,3,3,12.556130519750724,10.441171995795557,9.128241286080367,6.06418393094522,5.857589662312046
yacht,3,4,7.543352087278365,4.4856849954509075,9.783557723054317,6.963301344513428,2.4286840327949233
yacht,3,5,7.651755314426559,8.979010676917648,4.501836390462839,6.970790914751699,5.276075234901514
yacht,3,6,4.741295582632414,4.743120864392751,5.010246386178544,4.059611262461388,4.454218226244244
yacht,3,7,3.796557129919169,10.441171995795557,6.6376733448403975,1.480924286010285,3.2815331888087966
yacht,3,8,2.9560615823916767,10.441171995795557,4.988596761030001,6.963301344513428,3.1280363309617285
yacht,4,0,4.472438970255975,2.4112389338851785,8.0779373612289,15.396248364968105,6.979914332207158
yacht,4,1,24.07513997728349,5.4769773082069495,10.104025933507728,3.5967930738919023,4.372196168250012
yacht,4,2,5.972738964187061,9.072759425837644,9.93258586627467,3.1374659402373086,5.493477220222536
yacht,4,3,5.9692533687522715,9.971301185219527,2.5001450190403443,6.344499334083883,2.194522650137321
yacht,4,4,7.447119442758664,5.458865160414453,6.006445237444592,6.44715831851735,2.013783687911314
yacht,4,5,3.816066865872856,11.985127324260619,9.93258586627467,11.169750293602817,5.2012252605187985
yacht,4,6,2.5141430215458276,2.2930644961274176,9.578899960693263,6.44715831851735,2.1751126445537863
yacht,4,7,6.415361658226225,9.072759425837644,6.049660482279925,6.44715831851735,4.00406021660862
yacht,4,8,1.786160425663999,1.3821751072006745,4.92006305729384,3.4636714958197814,4.977297728079757
