Algorithm,Dataset,RMSE_train,RMSE_test
ITEA,airfoil,2.18231886589272,2.41283457824221
ITEA,airfoil,2.1920410578982756,2.400718318418644
ITEA,airfoil,2.1613160049445206,2.5047460560555384
ITEA,airfoil,2.292535404310599,2.473576887185501
ITEA,airfoil,2.3192080410237543,2.4977944846169464
ITEA,airfoil,2.1962202992858413,2.427167239541885
ITEA,airfoil,2.2649491946969724,2.387025695263598
ITEA,airfoil,2.3374942116555752,2.368853209863324
ITEA,airfoil,2.313532871336963,2.2628225407487053
ITEA,airfoil,2.170699847158156,2.2126767384123407
ITEA,airfoil,2.3195677760451754,2.3360809002843363
ITEA,airfoil,2.270595667947188,2.3239109584949182
ITEA,airfoil,2.266626332324423,2.2061889743838017
ITEA,airfoil,2.3574504099756006,2.21473150913914
ITEA,airfoil,2.2042967594550125,2.113917091033068
ITEA,airfoil,2.3322542720044517,2.305253970134125
ITEA,airfoil,2.329886324948746,2.3322148593255223
ITEA,airfoil,2.211330486884456,2.1452533820482027
ITEA,airfoil,2.2877122954560662,2.628916366217619
ITEA,airfoil,2.2932260589684166,2.55974791405916
ITEA,airfoil,2.2566545550550074,2.520275427304915
ITEA,airfoil,2.424038735999753,2.6795073159831557
ITEA,airfoil,2.3450028922240818,2.7138460999059664
ITEA,airfoil,2.257931480773808,2.4785108964494715
ITEA,airfoil,2.2018253150439446,2.514789749266366
ITEA,airfoil,2.233899706347084,2.4376948088833466
ITEA,airfoil,2.276077548453643,2.8765066776337136
ITEA,airfoil,2.183735254691655,2.3837788298065083
ITEA,airfoil,2.229871790200931,2.558168848754925
ITEA,airfoil,2.2962315734822965,3.1084868867806064
ITEA,concrete,5.6280006609633855,6.254870109738323
ITEA,concrete,5.856390141652516,6.057641008935336
ITEA,concrete,5.980636725472331,6.368012291306092
ITEA,concrete,5.825001701757593,5.928192444574484
ITEA,concrete,5.770892593079537,6.115072299880032
ITEA,concrete,5.9185838280498935,6.746874404885952
ITEA,concrete,5.8781302031741856,5.898986387711497
ITEA,concrete,5.96088733478836,6.1383994060972205
ITEA,concrete,5.962418999509366,6.117728358906209
ITEA,concrete,5.797527915990889,5.879890761189022
ITEA,concrete,5.789535659020653,5.650810760387577
ITEA,concrete,5.7803975427567575,5.493522407707274
ITEA,concrete,5.837510427591409,7.9982175965690265
ITEA,concrete,5.670239881993594,6.835423739208993
ITEA,concrete,5.977466177044933,6.657878415915872
ITEA,concrete,5.700382009474525,6.410837273722116
ITEA,concrete,5.87484788549228,6.851501190355082
ITEA,concrete,5.797305987228342,6.7058710171186195
ITEA,concrete,5.745819395830202,6.1337753267501975
ITEA,concrete,5.812334163398355,6.5039909310005175
ITEA,concrete,5.808092107123487,6.703971535828898
ITEA,concrete,5.855294119314313,6.3901824949231445
ITEA,concrete,5.556877176433545,6.037310586070652
ITEA,concrete,5.7292949730094405,6.3682219540799725
ITEA,concrete,5.660150567865489,6.47495616069643
ITEA,concrete,5.721732062674443,5.90269200729263
ITEA,concrete,5.828258044774076,5.9691980929061375
ITEA,concrete,5.96588246035792,6.380668414962982
ITEA,concrete,5.657173026627687,6.219420982359557
ITEA,concrete,5.956898930920472,6.669552126219668
ITEA,energyCooling,1.388796731876404,1.6556078914674408
ITEA,energyCooling,1.3580879815327989,1.7302268728829795
ITEA,energyCooling,1.3571252987277258,1.768801575797641
ITEA,energyCooling,1.3952728628705635,1.7447447109124554
ITEA,energyCooling,1.369397300251468,1.6672368919081155
ITEA,energyCooling,1.3623399821208144,1.6814585088434966
ITEA,energyCooling,1.5523537665562372,1.4351518464794004
ITEA,energyCooling,1.519725629615254,1.448716758661584
ITEA,energyCooling,1.4332106066983938,1.3421435525970498
ITEA,energyCooling,1.4587943877652707,1.3427037921660614
ITEA,energyCooling,1.4872160578819316,1.4397941490655364
ITEA,energyCooling,1.4263373089504985,1.4561208743207843
ITEA,energyCooling,1.4345662230565952,1.457904661869522
ITEA,energyCooling,1.5158165587856056,1.4605060804009278
ITEA,energyCooling,1.5289758219036282,1.3965908447321032
ITEA,energyCooling,1.436558214924584,1.3802364897467134
ITEA,energyCooling,1.4305277223077166,1.3906897659727286
ITEA,energyCooling,1.4118445821163126,1.3342307804133482
ITEA,energyCooling,1.459277886581256,1.5809223530792669
ITEA,energyCooling,1.4566859524902476,1.6367285691940066
ITEA,energyCooling,1.4620898398926232,1.6291768211908189
ITEA,energyCooling,1.4469638914176548,1.6076099723369213
ITEA,energyCooling,1.4835120389154248,1.6041424345103603
ITEA,energyCooling,1.4289070123094436,1.6330936021069975
ITEA,energyCooling,1.42467114063725,1.5177755664458294
ITEA,energyCooling,1.3926568336052192,1.4837008806364425
ITEA,energyCooling,1.407283218336172,1.4826796546278604
ITEA,energyCooling,1.4874476403226198,1.6523586543325668
ITEA,energyCooling,1.4091211163307502,1.5114381105744847
ITEA,energyCooling,1.3811860321419902,1.4442712119580738
ITEA,energyHeating,0.4765912149132563,0.4588160044444386
ITEA,energyHeating,0.4770938407790359,0.4828675157210073
ITEA,energyHeating,0.4576645473668565,0.4576192827792783
ITEA,energyHeating,0.4615980287136996,0.4455778888703852
ITEA,energyHeating,0.4748293023702065,0.4636679478424873
ITEA,energyHeating,0.4773147321135772,0.4498792998180995
ITEA,energyHeating,0.4416890261081249,0.5299720321916205
ITEA,energyHeating,0.4314446011960938,0.4937526370211832
ITEA,energyHeating,0.467652211089128,0.5343485538180719
ITEA,energyHeating,0.4364557585205263,0.5294381141643879
ITEA,energyHeating,0.4451201602262151,0.5242112138734695
ITEA,energyHeating,0.4491475574025177,0.533928027917701
ITEA,energyHeating,0.4671859857860369,0.4258910403881372
ITEA,energyHeating,0.4697037898369441,0.4146899671968184
ITEA,energyHeating,0.4795091440944525,0.4184286034258308
ITEA,energyHeating,0.4718038141639354,0.421506493020188
ITEA,energyHeating,0.4952180215207852,0.4568097705080457
ITEA,energyHeating,0.4755559116148302,0.4141129856546824
ITEA,energyHeating,0.458546605527701,0.5359911226989557
ITEA,energyHeating,0.4614019220112382,0.5271791012262851
ITEA,energyHeating,0.4470129619228397,0.5194289369898595
ITEA,energyHeating,0.4667120191386162,0.5128204058984577
ITEA,energyHeating,0.4511562763620113,0.5180847847460883
ITEA,energyHeating,0.4567376918673583,0.524629889220049
ITEA,energyHeating,0.4461294429637477,0.5362536475335261
ITEA,energyHeating,0.4451631927007351,0.5212373988674516
ITEA,energyHeating,0.4672057671050277,0.5333545836835778
ITEA,energyHeating,0.44216139650020014,0.5184637364926739
ITEA,energyHeating,0.4500521090613536,0.530702395266032
ITEA,energyHeating,0.4479571207216407,0.5392179829545032
ITEA,yacht,0.4595934792329189,0.5472216721556741
ITEA,yacht,0.5179243262656766,0.6780568848945208
ITEA,yacht,0.4871716223900053,0.5831002472905301
ITEA,yacht,0.4184315040267628,0.5142235414519066
ITEA,yacht,0.4737956120103477,0.5724658875422611
ITEA,yacht,0.42641786358576217,0.4665816108430297
ITEA,yacht,0.4802270202121022,0.5741719923314343
ITEA,yacht,0.6485646337474867,0.7351293774689018
ITEA,yacht,0.5017118844763663,0.6284808019574432
ITEA,yacht,0.56240857530044,2.130897330071996
ITEA,yacht,0.4439448073078593,0.4606931275210646
ITEA,yacht,0.4849995265009304,0.6761851411669162
ITEA,yacht,0.4751920246153604,0.5368539400356788
ITEA,yacht,0.3906495642408975,0.4655949375591744
ITEA,yacht,0.5043193431932518,0.6063143929956907
ITEA,yacht,0.4231257966703227,0.6103692622750794
ITEA,yacht,0.4877801989602591,3.4048388526984628
ITEA,yacht,0.523272441188291,0.7526894688660419
ITEA,yacht,0.4073684542148977,0.5029256420699055
ITEA,yacht,0.3888003369338499,0.4973369709958827
ITEA,yacht,0.4627644096963199,0.6645389047953966
ITEA,yacht,0.5140609565234525,0.6646604794508171
ITEA,yacht,0.4557894007869683,0.6057800210911561
ITEA,yacht,0.44969054858167096,0.6290142807494518
ITEA,yacht,0.5688198055836816,0.7207841857703117
ITEA,yacht,0.5707639835661784,0.6439252458909974
ITEA,yacht,0.608767278067374,0.63632423067335
ITEA,yacht,0.4977455554194454,0.6501461582909321
ITEA,yacht,0.5384275801970722,0.6247837264565572
ITEA,yacht,0.5262663462331479,0.6495072369593644
ITEA,Geographical,33.82828287466094,36.02692075443716
ITEA,Geographical,33.45613904869893,37.19832027506567
ITEA,Geographical,35.11427459832005,40.130590749191974
ITEA,Geographical,34.717354107611925,37.7639017081214
ITEA,Geographical,33.747487484442644,36.5860230997674
ITEA,Geographical,33.231431253643564,33.65477174320619
ITEA,Geographical,34.22850483790723,35.356650332973416
ITEA,Geographical,33.56138069153017,34.719266177547205
ITEA,Geographical,26.60734597857552,28.869879151146808
ITEA,Geographical,32.197699576876666,35.36243118177014
ITEA,Geographical,27.378953944709377,30.303505867813467
ITEA,Geographical,32.35022330940382,34.56861018612248
ITEA,Geographical,26.67558175432541,28.67438313371697
ITEA,Geographical,34.28250234257666,35.996204175341504
ITEA,Geographical,34.24472739783068,34.68696883060832
ITEA,Geographical,35.03038851212134,34.4561136690649
ITEA,Geographical,34.59272235254323,34.54944158723268
ITEA,Geographical,33.2510996614646,33.78269806480914
ITEA,Geographical,32.7088416758982,38.28155933208542
ITEA,Geographical,33.121094155374905,37.8910770118425
ITEA,Geographical,31.73076361593533,35.11955610837937
ITEA,Geographical,32.8606911887111,37.553544113011505
ITEA,Geographical,32.890155949675496,37.16885423147155
ITEA,Geographical,32.714624526958595,38.69518119143137
ITEA,Geographical,33.99427130515876,37.54136867529674
ITEA,Geographical,33.26587989539585,38.638143383747405
ITEA,Geographical,34.558984358023054,37.4575173989468
ITEA,Geographical,33.98670229426889,36.4096535793017
ITEA,Geographical,34.15568918938568,36.78462918732573
ITEA,Geographical,33.61247325659748,35.163498846571585
ITEA,towerData,22.867667582602202,23.191903503950247
ITEA,towerData,23.10775850789719,23.563943040599888
ITEA,towerData,22.3668048327226,23.19118465220437
ITEA,towerData,22.66133240482901,22.780413054882345
ITEA,towerData,23.00295970757291,23.455184641297933
ITEA,towerData,23.194671307192746,23.204421805669273
ITEA,towerData,22.348223044307904,24.22102205067719
ITEA,towerData,22.74999813853172,25.203907563956065
ITEA,towerData,22.235206977375576,23.594338014796037
ITEA,towerData,22.395634997481494,24.400249441809397
ITEA,towerData,21.845148132617293,24.051103739690323
ITEA,towerData,22.52643637581821,24.422800171012483
ITEA,towerData,22.643882059461692,22.470774504108892
ITEA,towerData,21.979421891275095,21.77025889523179
ITEA,towerData,22.967094667010922,23.230227440746326
ITEA,towerData,21.982473834922896,21.51523996126693
ITEA,towerData,22.029625954110244,21.35104541988337
ITEA,towerData,22.07035739657337,22.87937253329214
ITEA,towerData,20.91990699575978,24.949144678451546
ITEA,towerData,22.48598846756413,23.597796762144434
ITEA,towerData,22.579175728872805,22.413887685245246
ITEA,towerData,21.369559335299584,20.99608754550356
ITEA,towerData,21.958341768109666,27.259251346775788
ITEA,towerData,21.445840211975703,25.496200358378182
ITEA,towerData,22.026094804587874,21.69377364836626
ITEA,towerData,21.660864148010784,21.44423183027682
ITEA,towerData,21.49795801324912,20.5191008041478
ITEA,towerData,21.969936544008736,21.37086145133652
ITEA,towerData,21.702791136707035,21.182471849842674
ITEA,towerData,21.427790612206408,21.408128705506712
ITEA,tecator,0.8622221342718995,1.5701015718608016
ITEA,tecator,0.5682406000038739,1.137025802065794
ITEA,tecator,0.7295068568244304,1.1548304767429003
ITEA,tecator,0.7467302355207374,1.1371979361686124
ITEA,tecator,0.5570407872000006,0.9939011312762897
ITEA,tecator,0.7976954593172945,1.391021813082169
ITEA,tecator,0.5886761787759185,0.7581179145981959
ITEA,tecator,0.5787534780796797,0.7467561567490998
ITEA,tecator,0.673738346874695,0.8965938950571669
ITEA,tecator,0.5660992749901688,0.5699503731165478
ITEA,tecator,0.6948514208843237,1.8130282788864809
ITEA,tecator,0.7404259631381238,1.0731360579967042
ITEA,tecator,0.7674771064972656,1.8518008718080232
ITEA,tecator,0.6234891935497093,0.7070458263554854
ITEA,tecator,0.8739305331061945,1.309993401051988
ITEA,tecator,0.9257780006380656,1.1545375466912804
ITEA,tecator,0.7533574788918349,1.0575881689742663
ITEA,tecator,0.7348776279415219,1.0335582508588084
ITEA,tecator,0.6738493134544876,1.9452483746739
ITEA,tecator,0.6436741367150602,1.4836396622283707
ITEA,tecator,0.7343332595404064,1.5458280757772591
ITEA,tecator,0.7690198762316224,1.5693764144304123
ITEA,tecator,0.6465294582889529,0.8335199990985894
ITEA,tecator,0.6682652806881655,0.8269689162023837
ITEA,tecator,0.709542039499225,1.1616695590675579
ITEA,tecator,0.6435562013754017,1.89314058517884
ITEA,tecator,0.694412146195842,0.9508973943570116
ITEA,tecator,0.6407207630874886,1.2354368854801483
ITEA,tecator,0.7310855089967262,1.0408602617350469
ITEA,tecator,0.6315717628214481,1.0152157445768943
ITEA,wineRed,0.6119456844591952,0.6519137493523152
ITEA,wineRed,0.6096429539888087,0.6459547724637364
ITEA,wineRed,0.6066684183215179,0.6407948037631117
ITEA,wineRed,0.6017881691797726,0.6666437614524555
ITEA,wineRed,0.6072582207560983,0.6560226176422248
ITEA,wineRed,0.6056716633461278,0.6457618795757986
ITEA,wineRed,0.6210229298265626,0.5968341652060635
ITEA,wineRed,0.6165072535980703,0.5962867183600845
ITEA,wineRed,0.617874725052181,0.6024321890219979
ITEA,wineRed,0.62053955394712,0.611729181403729
ITEA,wineRed,0.6171326771018526,0.6177983459772661
ITEA,wineRed,0.6198907217985952,0.6416134601829284
ITEA,wineRed,0.6080092940376303,0.6449819800070528
ITEA,wineRed,0.6150309121921768,0.6165734221963926
ITEA,wineRed,0.60485316335319,0.6274309904011649
ITEA,wineRed,0.6085334635047478,0.6162724683393126
ITEA,wineRed,0.6070020533741864,0.6344405577399972
ITEA,wineRed,0.6162687144494756,0.6681877940830285
ITEA,wineRed,0.6180623857170803,0.6181289845192814
ITEA,wineRed,0.6148125627833213,0.6160240816228388
ITEA,wineRed,0.6137742868182037,0.6341599472576054
ITEA,wineRed,0.6143132602492608,0.6234241374784857
ITEA,wineRed,0.6148245786262867,0.6169121775423195
ITEA,wineRed,0.6156980119849763,0.6224550203804147
ITEA,wineRed,0.5984838857531388,0.6959214223461135
ITEA,wineRed,0.600482925394495,0.6874673546126486
ITEA,wineRed,0.5990052766116329,0.6976795754394532
