dataset,conf,Fold,Rep,RMSE_cv,RMSE_train,RMSE_test
airfoil,0,0,0,2.5819811942247495,1.833464655330456,2.4983725115599085
airfoil,0,0,1,2.5819811942247495,1.7719285107342704,2.4239176212140388
airfoil,0,0,2,2.5819811942247495,1.7816391971806185,2.450374090513412
airfoil,0,0,3,2.5819811942247495,1.7997093074050803,2.456008350629009
airfoil,0,0,4,2.5819811942247495,1.8209289335309577,2.4629858427791245
airfoil,0,0,5,2.5819811942247495,1.785082267672972,2.467338971652977
airfoil,2,1,0,2.5837763765754476,1.7891039320832112,2.3467335359565067
airfoil,2,1,1,2.5837763765754476,1.796599993790514,2.354888581203228
airfoil,2,1,2,2.5837763765754476,1.7909797370408653,2.3546474235866914
airfoil,2,1,3,2.5837763765754476,1.7878737537923948,2.329549129376851
airfoil,2,1,4,2.5837763765754476,1.7958626020220858,2.3777421144742314
airfoil,2,1,5,2.5837763765754476,1.786878742449845,2.343375902890436
airfoil,2,2,0,2.6210387381546476,1.8468424550636975,2.2856645757162766
airfoil,2,2,1,2.6210387381546476,1.8466548725939231,2.294300425571288
airfoil,2,2,2,2.6210387381546476,1.848265064190182,2.2941185962278103
airfoil,2,2,3,2.6210387381546476,1.8404728695184274,2.287780584681918
airfoil,2,2,4,2.6210387381546476,1.8405120958857313,2.292208391899873
airfoil,2,2,5,2.6210387381546476,1.8302807007404764,2.2916549301153624
airfoil,1,3,0,2.546987641811529,1.7816581248561096,2.3442644226642493
airfoil,1,3,1,2.546987641811529,1.775159727277208,2.313255004132468
airfoil,1,3,2,2.546987641811529,1.7615682080957216,2.2743575325222984
airfoil,1,3,3,2.546987641811529,1.7918622175133656,2.297919082471641
airfoil,1,3,4,2.546987641811529,1.7669457913738653,2.3159086531231785
airfoil,1,3,5,2.546987641811529,1.784544708740854,2.3172830959301436
airfoil,2,4,0,2.535089765523271,1.7905802277861582,2.461085142145275
airfoil,2,4,1,2.535089765523271,1.783790784399446,2.4665630428473895
airfoil,2,4,2,2.535089765523271,1.7685090311801843,2.44503185125414
airfoil,2,4,3,2.535089765523271,1.7731584397126792,2.4586694360765504
airfoil,2,4,4,2.535089765523271,1.7790295901940985,2.451480180128852
airfoil,2,4,5,2.535089765523271,1.7755212825662887,2.4681462579879487
concrete,2,0,0,5.434403255541445,3.0360061335071107,4.840945444627947
concrete,2,0,1,5.434403255541445,3.0449370529339594,4.937850847420712
concrete,2,0,2,5.434403255541445,3.021511371952332,4.8573844357625955
concrete,2,0,3,5.434403255541445,3.014308413850207,4.807971732785705
concrete,2,0,4,5.434403255541445,3.0415012424780907,4.891446938415236
concrete,2,0,5,5.434403255541445,3.0563899410909587,4.9102911891995245
concrete,2,1,0,5.479643904808471,2.989202708157589,5.297406979515076
concrete,2,1,1,5.479643904808471,3.0062724935441625,5.339088430333085
concrete,2,1,2,5.479643904808471,3.005606275432468,5.329300672960137
concrete,2,1,3,5.479643904808471,3.0241093785714934,5.346834791730905
concrete,2,1,4,5.479643904808471,3.0010822341086993,5.336560456644023
concrete,2,1,5,5.479643904808471,3.002374538713101,5.331093963635823
concrete,0,2,0,5.43330005124345,3.0804696788023502,5.201704685637558
concrete,0,2,1,5.43330005124345,3.0405734464502148,5.281445176164199
concrete,0,2,2,5.43330005124345,2.986896920463869,5.224240350400056
concrete,0,2,3,5.43330005124345,2.994724080194132,5.133430352655963
concrete,0,2,4,5.43330005124345,3.02333750635561,5.179843168413681
concrete,0,2,5,5.43330005124345,3.0466693209511773,5.332688110125823
concrete,2,3,0,5.381543640777741,2.8851501421399566,5.789962715639654
concrete,2,3,1,5.381543640777741,2.90660232588458,5.826470207466497
concrete,2,3,2,5.381543640777741,2.9060654281924125,5.81103078676248
concrete,2,3,3,5.381543640777741,2.882470486950917,5.758874914449931
concrete,2,3,4,5.381543640777741,2.8829823044714664,5.804188563053198
concrete,2,3,5,5.381543640777741,2.910976559586386,5.746017804927776
concrete,2,4,0,5.562175664302146,2.886139456487061,4.995456755083307
concrete,2,4,1,5.562175664302146,2.8474027212175557,5.005430103984956
concrete,2,4,2,5.562175664302146,2.8643443422316497,5.043793555477733
