dataset,conf,Fold,RMSE_train,RMSE_test
airfoil,{'alpha': 1e-05},0,4.831776872570011,4.740105845248271
airfoil,{'alpha': 1e-05},1,4.816883218168671,4.818373865550087
airfoil,{'alpha': 1e-05},2,4.83488829005602,4.744085885077896
airfoil,{'alpha': 1e-05},3,4.854059449217727,4.675757306971851
airfoil,{'alpha': 1e-05},4,4.741600817528044,5.1181903374503515
concrete,{'alpha': 0.0001},0,10.530876903323954,10.127209557185443
concrete,{'alpha': 1e-05},1,10.311532761770977,10.949582762001151
concrete,{'alpha': 0.0001},2,10.413259369124921,10.971178675695402
concrete,{'alpha': 0.0001},3,10.494039156189297,10.265875114095076
concrete,{'alpha': 0.0001},4,10.616011440848741,9.908153368585083
energyCooling,{'alpha': 1e-05},0,3.2143945486689485,3.202211072238962
energyCooling,{'alpha': 1e-05},1,3.219617889714346,3.199706071545333
energyCooling,{'alpha': 1e-05},2,3.2416533966386583,3.112227651745652
energyCooling,{'alpha': 1e-05},3,3.181558787198435,3.401118465410533
energyCooling,{'alpha': 1e-05},4,3.235865604956476,3.1584057026833525
energyHeating,{'alpha': 1e-05},0,2.889716960515093,3.161241532294578
energyHeating,{'alpha': 1e-05},1,2.967693498268507,2.865348467739252
energyHeating,{'alpha': 1e-05},2,2.998106179530049,2.847528757585438
energyHeating,{'alpha': 1e-05},3,2.9135316465076966,3.1141073179232173
energyHeating,{'alpha': 1e-05},4,3.0149905583897145,2.7221907738906848
Geographical,{'alpha': 0.1},0,44.4252629410841,44.93614936372781
Geographical,{'alpha': 0.1},1,44.587292332175075,44.8075114184274
Geographical,{'alpha': 1e-05},2,44.33853662839966,42.696706350400795
Geographical,{'alpha': 1e-05},3,44.431267569637136,43.06785599621181
Geographical,{'alpha': 1e-05},4,44.300906164074966,44.114217915491935
towerData,{'alpha': 1e-05},0,30.86293671877189,30.225373929274348
towerData,{'alpha': 1e-05},1,31.287747515942225,29.06051036387743
towerData,{'alpha': 0.001},2,31.52183488310395,28.450206650655407
towerData,{'alpha': 1e-05},3,28.503231225943107,36.6104228784709
towerData,{'alpha': 1e-05},4,31.09904233222487,28.476094105011754
tecator,{'alpha': 0.001},0,0.7437227337745145,0.7995397649540555
tecator,{'alpha': 0.001},1,0.8969141747153516,0.6998220268886147
tecator,{'alpha': 0.001},2,0.7850322018656142,0.8099930891101366
tecator,{'alpha': 0.001},3,0.7967016069376266,0.774976327959468
tecator,{'alpha': 0.001},4,0.8021478670668121,0.6117347342901152
wineRed,{'alpha': 0.0001},0,0.6507372728877707,0.6543543276017376
wineRed,{'alpha': 0.0001},1,0.6589381817397844,0.6228793982356351
wineRed,{'alpha': 0.0001},2,0.6562411105854641,0.6350015785705883
wineRed,{'alpha': 0.0001},3,0.6537487672856048,0.6454842474561616
wineRed,{'alpha': 0.0001},4,0.6399175049992579,0.6975699581504589
wineWhite,{'alpha': 1e-05},0,0.7546813804002891,0.7481190431976117
wineWhite,{'alpha': 1e-05},1,0.752583242914264,0.7568431259224784
wineWhite,{'alpha': 1e-05},2,0.7475644002693873,0.7743804135654697
wineWhite,{'alpha': 1e-05},3,0.7555374605407861,0.7469491429270174
wineWhite,{'alpha': 0.0001},4,0.7559560968050987,0.7455425096077177
yacht,{'alpha': 0.01},0,9.054331107960088,8.332013894232443
yacht,{'alpha': 0.01},1,8.875038000556955,9.185569099413938
yacht,{'alpha': 0.01},2,9.015945640964096,8.674602109452424
yacht,{'alpha': 0.01},3,8.701720917870016,10.053857375249184
yacht,{'alpha': 0.1},4,9.082057397230056,8.415215265643388
