dataset,conf,Fold,Rep,RMSE_cv,RMSE_train,RMSE_test
airfoil,0,0,0,3.426510016888419,1.9555761004484458,2.857769236964857
airfoil,0,0,1,3.426510016888419,1.9555761004484458,2.857769236964857
airfoil,0,0,2,3.426510016888419,1.9555761004484458,2.857769236964857
airfoil,0,0,3,3.426510016888419,1.9555761004484458,2.857769236964856
airfoil,0,0,4,3.426510016888419,1.9555761004484458,2.857769236964856
airfoil,0,0,5,3.426510016888419,1.9555761004484458,2.8577692369648573
airfoil,0,1,0,3.378617493740426,2.1315708798960378,2.8434969919037734
airfoil,0,1,1,3.378617493740426,2.1315708798960373,2.8434969919037743
airfoil,0,1,2,3.378617493740426,2.1315708798960373,2.8434969919037734
airfoil,0,1,3,3.378617493740426,2.1315708798960373,2.8434969919037734
airfoil,0,1,4,3.378617493740426,2.1315708798960373,2.8434969919037743
airfoil,0,1,5,3.378617493740426,2.1315708798960378,2.843496991903773
airfoil,0,2,0,3.2953490800353222,2.1496525443974868,3.067959504041678
airfoil,0,2,1,3.2953490800353222,2.1496525443974868,3.067959504041677
airfoil,0,2,2,3.2953490800353222,2.1496525443974868,3.0679595040416765
airfoil,0,2,3,3.2953490800353222,2.1496525443974868,3.067959504041678
airfoil,0,2,4,3.2953490800353222,2.149652544397487,3.0679595040416765
airfoil,0,2,5,3.2953490800353222,2.1496525443974868,3.067959504041679
airfoil,0,3,0,3.2832058519716383,1.9798122061993837,2.8484366945708155
airfoil,0,3,1,3.2832058519716383,1.9798122061993837,2.8484366945708155
airfoil,0,3,2,3.2832058519716383,1.9798122061993837,2.848436694570815
airfoil,0,3,3,3.2832058519716383,1.9798122061993837,2.848436694570815
airfoil,0,3,4,3.2832058519716383,1.9798122061993837,2.8484366945708155
airfoil,0,3,5,3.2832058519716383,1.9798122061993837,2.848436694570815
airfoil,0,4,0,3.3191761481028705,1.9953457177613685,3.022227827384769
airfoil,0,4,1,3.3191761481028705,1.9953457177613685,3.031609461279392
airfoil,0,4,2,3.3191761481028705,1.9953457177613685,3.031609461279391
airfoil,0,4,3,3.3191761481028705,1.9953457177613685,3.0316094612793907
airfoil,0,4,4,3.3191761481028705,1.9953457177613685,3.0316094612793916
airfoil,0,4,5,3.3191761481028705,1.9953457177613685,3.0316094612793916
concrete,0,0,0,6.759080725965534,2.914684374488858,6.204874381823003
concrete,0,0,1,6.759080725965534,2.914684374488858,6.1688725419919646
concrete,0,0,2,6.759080725965534,2.914684374488858,6.147876689683507
concrete,0,0,3,6.759080725965534,2.914684374488858,6.1697448057815665
concrete,0,0,4,6.759080725965534,2.914684374488858,6.207281991258975
concrete,0,0,5,6.759080725965534,2.914684374488858,6.171169596175244
concrete,0,1,0,6.97017184220753,3.0147879796688066,6.257060975522208
concrete,0,1,1,6.97017184220753,3.0147879796688066,6.223304065175078
concrete,0,1,2,6.97017184220753,3.0147879796688066,6.223304065175078
concrete,0,1,3,6.97017184220753,3.0147879796688066,6.190335633918331
concrete,0,1,4,6.97017184220753,3.0147879796688066,6.263350876866371
concrete,0,1,5,6.97017184220753,3.0147879796688066,6.223304065175078
concrete,0,2,0,7.68019474072531,2.991114659826552,7.358577996974668
concrete,0,2,1,7.68019474072531,2.991114659826552,7.1696868760135475
concrete,0,2,2,7.68019474072531,2.991114659826552,7.479709746275847
